[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       TDU_14       TDU_15       TDU_16       TDU_17       TDU_18       TDU_19       TDU_20       TDU_21       TDU_22       TDU_23       TDU_24       
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.64E-02     4.73E-02     6.98E-02     8.94E-02     1.05E-01     1.18E-01     1.29E-01     1.39E-01     1.48E-01     1.56E-01     1.65E-01     1.73E-01     1.82E-01     1.93E-01     2.04E-01     2.19E-01     2.37E-01     2.59E-01     2.80E-01     3.00E-01     3.16E-01     3.26E-01     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.35E-02     2.57E-02     3.99E-02     5.30E-02     6.43E-02     7.40E-02     8.24E-02     9.05E-02     9.76E-02     1.05E-01     1.13E-01     1.20E-01     1.29E-01     1.39E-01     1.50E-01     1.64E-01     1.82E-01     2.03E-01     2.23E-01     2.43E-01     2.58E-01     2.68E-01     
Eu           63           0.00000E+00  -1.05E-02    -1.05E-02    0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.03E-02     1.21E-02     1.39E-02     1.59E-02     1.79E-02     2.01E-02     2.29E-02     2.59E-02     3.02E-02     3.56E-02     4.21E-02     4.87E-02     5.53E-02     6.08E-02     6.44E-02     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     1.68E-02     2.46E-02     3.22E-02     3.90E-02     4.50E-02     5.02E-02     5.53E-02     5.98E-02     6.45E-02     6.96E-02     7.46E-02     8.03E-02     8.72E-02     9.49E-02     1.06E-01     1.19E-01     1.34E-01     1.49E-01     1.64E-01     1.76E-01     1.83E-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.38E-02     1.74E-02     2.04E-02     2.34E-02     2.61E-02     2.89E-02     3.19E-02     3.49E-02     3.83E-02     4.25E-02     4.72E-02     5.38E-02     6.20E-02     7.19E-02     8.17E-02     9.15E-02     9.95E-02     1.05E-01     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.29E-02     1.98E-02     2.66E-02     3.28E-02     3.83E-02     4.31E-02     4.78E-02     5.20E-02     5.62E-02     6.08E-02     6.53E-02     7.05E-02     7.68E-02     8.38E-02     9.35E-02     1.06E-01     1.20E-01     1.34E-01     1.48E-01     1.60E-01     1.67E-01     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.13E-02     1.45E-02     1.73E-02     1.96E-02     2.19E-02     2.39E-02     2.62E-02     2.88E-02     3.13E-02     3.45E-02     3.86E-02     4.30E-02     4.98E-02     5.81E-02     6.80E-02     7.68E-02     8.52E-02     9.06E-02     9.25E-02     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.20E-02     1.92E-02     2.77E-02     3.61E-02     4.38E-02     5.07E-02     5.68E-02     6.27E-02     6.79E-02     7.33E-02     7.91E-02     8.48E-02     9.14E-02     9.96E-02     1.09E-01     1.22E-01     1.37E-01     1.56E-01     1.74E-01     1.91E-01     2.05E-01     2.13E-01     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.10E-02     1.65E-02     2.14E-02     2.59E-02     2.99E-02     3.37E-02     3.71E-02     4.06E-02     4.44E-02     4.81E-02     5.25E-02     5.80E-02     6.42E-02     7.31E-02     8.42E-02     9.76E-02     1.11E-01     1.24E-01     1.36E-01     1.44E-01     
