[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.84E-02     7.07E-02     1.25E-01     1.81E-01     2.34E-01     2.80E-01     3.18E-01     3.40E-01     3.44E-01     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.48E-02     3.85E-02     7.03E-02     1.05E-01     1.40E-01     1.74E-01     2.03E-01     2.20E-01     2.23E-01     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.38E-02     2.18E-02     3.05E-02     3.96E-02     4.80E-02     5.33E-02     5.44E-02     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.82E-02     3.44E-02     5.37E-02     7.47E-02     9.61E-02     1.16E-01     1.28E-01     1.30E-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.07E-02     2.00E-02     3.11E-02     4.33E-02     5.59E-02     6.77E-02     7.51E-02     7.65E-02     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.72E-02     3.18E-02     4.85E-02     6.65E-02     8.49E-02     1.02E-01     1.13E-01     1.15E-01     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.20E-02     2.15E-02     3.16E-02     4.22E-02     5.26E-02     6.12E-02     6.51E-02     6.38E-02     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.26E-02     4.14E-02     6.25E-02     8.44E-02     1.06E-01     1.25E-01     1.37E-01     1.39E-01     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.45E-02     2.65E-02     3.96E-02     5.31E-02     6.65E-02     7.90E-02     8.74E-02     8.94E-02     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.71E-02     4.60E-02     8.48E-02     1.26E-01     1.66E-01     2.04E-01     2.37E-01     2.56E-01     2.59E-01     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.57E-02     4.88E-02     7.37E-02     9.85E-02     1.22E-01     1.43E-01     1.55E-01     1.58E-01     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.24E-02     5.98E-02     1.10E-01     1.63E-01     2.14E-01     2.60E-01     2.98E-01     3.21E-01     3.25E-01     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.81E-02     4.98E-02     9.32E-02     1.39E-01     1.84E-01     2.24E-01     2.59E-01     2.80E-01     2.84E-01     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.24E-02     6.20E-02     1.16E-01     1.71E-01     2.23E-01     2.69E-01     3.06E-01     3.28E-01     3.32E-01     
Re           75           -1.15E-02    -1.25E-02    -1.25E-02    -1.18E-02    0.00000E+00  0.00000E+00  2.56E-02     5.00E-02     7.50E-02     9.85E-02     1.19E-01     1.33E-01     1.36E-01     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.31E-02     2.49E-02     3.94E-02     5.48E-02     7.00E-02     8.33E-02     9.13E-02     9.27E-02     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.22E-02     1.36E-02     1.38E-02     
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.29E-02     2.01E-02     2.82E-02     3.65E-02     4.42E-02     4.89E-02     4.96E-02     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.17E-02     1.83E-02     2.54E-02     3.25E-02     3.90E-02     4.29E-02     4.36E-02     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.83E-02     5.20E-02     9.94E-02     1.51E-01     2.00E-01     2.45E-01     2.82E-01     3.03E-01     3.06E-01     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.03E-02     5.77E-02     1.08E-01     1.62E-01     2.13E-01     2.61E-01     3.01E-01     3.24E-01     3.28E-01     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.05E-02     6.55E-02     1.07E-01     1.49E-01     1.88E-01     2.20E-01     2.39E-01     2.42E-01     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.45E-02     2.10E-02     2.74E-02     3.15E-02     3.22E-02     
