[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  2.06E-01     5.53E-01     8.19E-01     1.00E+00     1.12E+00     1.20E+00     1.25E+00     1.28E+00     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  1.71E-01     5.01E-01     7.65E-01     9.47E-01     1.07E+00     1.14E+00     1.20E+00     1.23E+00     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  1.37E-01     4.48E-01     7.13E-01     8.99E-01     1.02E+00     1.10E+00     1.15E+00     1.18E+00     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  8.71E-02     2.88E-01     4.92E-01     6.53E-01     7.64E-01     8.41E-01     8.95E-01     9.24E-01     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  8.45E-02     3.21E-01     5.54E-01     7.28E-01     8.44E-01     9.22E-01     9.75E-01     1.00E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  3.99E-02     1.81E-01     3.49E-01     4.93E-01     5.95E-01     6.66E-01     7.16E-01     7.42E-01     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.56E-02     8.05E-02     1.30E-01     1.73E-01     2.06E-01     2.32E-01     2.46E-01     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  2.03E-02     1.01E-01     2.13E-01     3.15E-01     3.91E-01     4.44E-01     4.82E-01     5.03E-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     5.85E-02     1.32E-01     2.08E-01     2.68E-01     3.12E-01     3.43E-01     3.60E-01     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  1.93E-02     1.05E-01     2.22E-01     3.30E-01     4.11E-01     4.67E-01     5.07E-01     5.28E-01     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.84E-02     1.13E-01     1.80E-01     2.35E-01     2.75E-01     3.05E-01     3.21E-01     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  2.08E-02     1.06E-01     2.26E-01     3.39E-01     4.24E-01     4.84E-01     5.26E-01     5.48E-01     
