[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       TDU_14       TDU_15       
Zr           40           0.00000E+00  0.00000E+00  1.41E-01     3.90E-01     6.11E-01     7.75E-01     8.96E-01     9.91E-01     1.07E+00     1.13E+00     1.18E+00     1.23E+00     1.27E+00     1.30E+00     1.33E+00     1.33E+00     
Nb           41           0.00000E+00  0.00000E+00  1.25E-02     4.99E-02     1.28E-01     2.24E-01     3.19E-01     4.08E-01     4.88E-01     5.59E-01     6.23E-01     6.80E-01     7.30E-01     7.74E-01     8.12E-01     8.43E-01     
Mo           42           0.00000E+00  0.00000E+00  7.47E-02     2.74E-01     4.74E-01     6.29E-01     7.47E-01     8.40E-01     9.14E-01     9.75E-01     1.03E+00     1.07E+00     1.11E+00     1.15E+00     1.17E+00     1.17E+00     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  4.18E-02     2.11E-01     3.99E-01     5.51E-01     6.67E-01     7.60E-01     8.34E-01     8.94E-01     9.45E-01     9.90E-01     1.03E+00     1.06E+00     1.09E+00     1.09E+00     
Rh           45           0.00000E+00  0.00000E+00  1.72E-02     1.01E-01     2.14E-01     3.19E-01     4.06E-01     4.80E-01     5.40E-01     5.92E-01     6.36E-01     6.74E-01     7.08E-01     7.40E-01     7.62E-01     7.66E-01     
Pd           46           0.00000E+00  0.00000E+00  4.94E-02     2.47E-01     4.63E-01     6.33E-01     7.59E-01     8.58E-01     9.36E-01     9.99E-01     1.05E+00     1.10E+00     1.14E+00     1.17E+00     1.20E+00     1.20E+00     
Ag           47           0.00000E+00  0.00000E+00  1.43E-02     8.71E-02     1.94E-01     2.98E-01     3.87E-01     4.62E-01     5.25E-01     5.78E-01     6.23E-01     6.63E-01     6.98E-01     7.31E-01     7.54E-01     7.59E-01     
Cd           48           0.00000E+00  0.00000E+00  6.93E-02     2.93E-01     5.27E-01     7.05E-01     8.38E-01     9.40E-01     1.02E+00     1.09E+00     1.14E+00     1.19E+00     1.23E+00     1.27E+00     1.30E+00     1.30E+00     
In           49           0.00000E+00  0.00000E+00  4.39E-02     2.07E-01     4.00E-01     5.57E-01     6.78E-01     7.74E-01     8.51E-01     9.14E-01     9.68E-01     1.01E+00     1.05E+00     1.09E+00     1.12E+00     1.12E+00     
Sn           50           0.00000E+00  0.00000E+00  1.12E-01     3.67E-01     6.08E-01     7.85E-01     9.14E-01     1.01E+00     1.09E+00     1.16E+00     1.21E+00     1.26E+00     1.30E+00     1.33E+00     1.36E+00     1.36E+00     
Sb           51           0.00000E+00  0.00000E+00  6.42E-02     2.06E-01     3.58E-01     4.84E-01     5.84E-01     6.65E-01     7.33E-01     7.90E-01     8.40E-01     8.84E-01     9.22E-01     9.59E-01     9.85E-01     9.89E-01     
Te           52           0.00000E+00  0.00000E+00  3.67E-02     1.57E-01     3.06E-01     4.34E-01     5.35E-01     6.15E-01     6.80E-01     7.33E-01     7.78E-01     8.17E-01     8.50E-01     8.81E-01     9.02E-01     9.06E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  5.06E-02     1.12E-01     1.75E-01     2.31E-01     2.81E-01     3.23E-01     3.61E-01     3.93E-01     4.22E-01     4.48E-01     4.72E-01     4.90E-01     4.93E-01     
Xe           54           0.00000E+00  0.00000E+00  3.86E-02     1.66E-01     3.21E-01     4.52E-01     5.55E-01     6.38E-01     7.04E-01     7.59E-01     8.05E-01     8.44E-01     8.79E-01     9.11E-01     9.34E-01     9.38E-01     
Cs           55           0.00000E+00  0.00000E+00  7.39E-02     2.71E-01     4.22E-01     5.40E-01     6.37E-01     7.19E-01     7.89E-01     8.50E-01     9.04E-01     9.51E-01     9.93E-01     1.03E+00     1.06E+00     1.06E+00     
Ba           56           0.00000E+00  0.00000E+00  1.37E-01     5.55E-01     8.85E-01     1.10E+00     1.25E+00     1.35E+00     1.43E+00     1.49E+00     1.54E+00     1.58E+00     1.62E+00     1.65E+00     1.67E+00     1.68E+00     
La           57           0.00000E+00  0.00000E+00  1.13E-01     5.21E-01     8.52E-01     1.07E+00     1.21E+00     1.32E+00     1.39E+00     1.45E+00     1.50E+00     1.54E+00     1.58E+00     1.61E+00     1.63E+00     1.63E+00     
Ce           58           0.00000E+00  0.00000E+00  9.09E-02     5.16E-01     8.67E-01     1.09E+00     1.24E+00     1.34E+00     1.42E+00     1.48E+00     1.52E+00     1.56E+00     1.59E+00     1.62E+00     1.64E+00     1.64E+00     
Pr           59           0.00000E+00  0.00000E+00  6.12E-02     3.67E-01     6.51E-01     8.49E-01     9.89E-01     1.09E+00     1.17E+00     1.23E+00     1.28E+00     1.31E+00     1.35E+00     1.38E+00     1.40E+00     1.40E+00     
Nd           60           0.00000E+00  0.00000E+00  5.61E-02     4.05E-01     7.28E-01     9.41E-01     1.08E+00     1.19E+00     1.26E+00     1.32E+00     1.36E+00     1.39E+00     1.42E+00     1.45E+00     1.47E+00     1.47E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  3.42E-02     2.60E-01     5.12E-01     6.99E-01     8.32E-01     9.27E-01     9.97E-01     1.05E+00     1.09E+00     1.12E+00     1.15E+00     1.18E+00     1.19E+00     1.20E+00     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  6.17E-02     1.48E-01     2.34E-01     3.08E-01     3.69E-01     4.16E-01     4.55E-01     4.86E-01     5.11E-01     5.32E-01     5.53E-01     5.66E-01     5.69E-01     
Gd           64           0.00000E+00  0.00000E+00  1.92E-02     1.46E-01     3.30E-01     4.77E-01     5.83E-01     6.62E-01     7.20E-01     7.64E-01     8.00E-01     8.29E-01     8.54E-01     8.77E-01     8.93E-01     8.96E-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  8.68E-02     2.17E-01     3.38E-01     4.32E-01     5.02E-01     5.55E-01     5.95E-01     6.27E-01     6.52E-01     6.73E-01     6.92E-01     7.06E-01     7.09E-01     
Dy           66           0.00000E+00  0.00000E+00  1.77E-02     1.50E-01     3.41E-01     4.98E-01     6.13E-01     6.96E-01     7.57E-01     8.03E-01     8.38E-01     8.66E-01     8.90E-01     9.11E-01     9.26E-01     9.28E-01     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  7.46E-02     1.87E-01     2.95E-01     3.82E-01     4.49E-01     5.00E-01     5.40E-01     5.71E-01     5.97E-01     6.18E-01     6.38E-01     6.51E-01     6.53E-01     
Er           68           0.00000E+00  0.00000E+00  1.68E-02     1.55E-01     3.51E-01     5.12E-01     6.30E-01     7.17E-01     7.80E-01     8.28E-01     8.66E-01     8.97E-01     9.22E-01     9.46E-01     9.61E-01     9.64E-01     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  9.74E-02     2.45E-01     3.84E-01     4.93E-01     5.75E-01     6.36E-01     6.82E-01     7.17E-01     7.45E-01     7.68E-01     7.89E-01     8.03E-01     8.05E-01     
Yb           70           0.00000E+00  0.00000E+00  3.39E-02     3.02E-01     5.85E-01     7.83E-01     9.20E-01     1.02E+00     1.09E+00     1.14E+00     1.18E+00     1.21E+00     1.24E+00     1.27E+00     1.28E+00     1.28E+00     
Lu           71           0.00000E+00  0.00000E+00  1.41E-02     1.79E-01     3.99E-01     5.72E-01     6.99E-01     7.90E-01     8.58E-01     9.09E-01     9.48E-01     9.79E-01     1.01E+00     1.03E+00     1.04E+00     1.05E+00     
Hf           72           0.00000E+00  0.00000E+00  4.16E-02     3.68E-01     6.78E-01     8.89E-01     1.03E+00     1.13E+00     1.20E+00     1.26E+00     1.30E+00     1.33E+00     1.36E+00     1.38E+00     1.40E+00     1.40E+00     
Ta           73           0.00000E+00  0.00000E+00  2.64E-02     2.94E-01     5.80E-01     7.86E-01     9.29E-01     1.03E+00     1.11E+00     1.16E+00     1.20E+00     1.24E+00     1.27E+00     1.29E+00     1.31E+00     1.31E+00     
W            74           0.00000E+00  0.00000E+00  3.31E-02     3.56E-01     6.70E-01     8.82E-01     1.03E+00     1.13E+00     1.20E+00     1.26E+00     1.30E+00     1.33E+00     1.36E+00     1.39E+00     1.40E+00     1.41E+00     
Re           75           -4.29E-02    -4.43E-02    -3.38E-02    1.01E-01     2.58E-01     3.98E-01     5.10E-01     5.99E-01     6.69E-01     7.24E-01     7.69E-01     8.05E-01     8.36E-01     8.64E-01     8.84E-01     8.87E-01     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  9.86E-02     2.41E-01     3.66E-01     4.63E-01     5.35E-01     5.89E-01     6.31E-01     6.64E-01     6.90E-01     7.13E-01     7.33E-01     7.47E-01     7.50E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  1.22E-02     3.89E-02     6.99E-02     9.86E-02     1.23E-01     1.42E-01     1.58E-01     1.71E-01     1.82E-01     1.91E-01     2.00E-01     2.06E-01     2.07E-01     
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  4.56E-02     1.33E-01     2.23E-01     2.99E-01     3.57E-01     4.01E-01     4.35E-01     4.61E-01     4.83E-01     5.00E-01     5.16E-01     5.27E-01     5.30E-01     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  4.00E-02     1.14E-01     1.92E-01     2.61E-01     3.18E-01     3.62E-01     3.96E-01     4.23E-01     4.45E-01     4.64E-01     4.80E-01     4.92E-01     4.94E-01     
Hg           80           0.00000E+00  0.00000E+00  1.50E-02     2.91E-01     6.00E-01     8.12E-01     9.56E-01     1.06E+00     1.13E+00     1.18E+00     1.22E+00     1.25E+00     1.28E+00     1.30E+00     1.32E+00     1.32E+00     
Tl           81           0.00000E+00  0.00000E+00  1.64E-02     3.47E-01     6.98E-01     9.28E-01     1.08E+00     1.18E+00     1.25E+00     1.30E+00     1.34E+00     1.37E+00     1.40E+00     1.42E+00     1.43E+00     1.43E+00     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  1.76E-01     4.60E-01     6.90E-01     8.54E-01     9.71E-01     1.05E+00     1.12E+00     1.16E+00     1.19E+00     1.22E+00     1.25E+00     1.26E+00     1.26E+00     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.69E-02     6.04E-02     9.99E-02     1.40E-01     1.76E-01     2.07E-01     2.33E-01     2.56E-01     2.75E-01     2.92E-01     3.04E-01     3.06E-01     
