[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  8.72E-02     2.72E-01     4.44E-01     5.83E-01     6.87E-01     7.68E-01     8.36E-01     8.97E-01     9.58E-01     1.02E+00     1.08E+00     1.12E+00     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  5.40E-02     1.83E-01     3.14E-01     4.27E-01     5.16E-01     5.87E-01     6.47E-01     7.03E-01     7.59E-01     8.18E-01     8.78E-01     9.17E-01     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  1.75E-01     4.71E-01     6.88E-01     8.44E-01     9.59E-01     1.05E+00     1.12E+00     1.19E+00     1.25E+00     1.32E+00     1.39E+00     1.42E+00     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  1.33E-01     3.82E-01     5.72E-01     7.08E-01     8.12E-01     8.95E-01     9.64E-01     1.03E+00     1.09E+00     1.15E+00     1.21E+00     1.25E+00     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  2.21E-01     5.62E-01     8.00E-01     9.58E-01     1.07E+00     1.16E+00     1.24E+00     1.31E+00     1.37E+00     1.44E+00     1.50E+00     1.54E+00     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  1.94E-01     5.14E-01     7.46E-01     9.00E-01     1.01E+00     1.10E+00     1.17E+00     1.24E+00     1.31E+00     1.37E+00     1.44E+00     1.48E+00     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  2.42E-01     6.00E-01     8.38E-01     9.91E-01     1.10E+00     1.18E+00     1.26E+00     1.32E+00     1.39E+00     1.45E+00     1.52E+00     1.55E+00     
Re           75           -1.54E-02    -2.99E-02    -2.99E-02    5.57E-02     2.65E-01     4.45E-01     5.74E-01     6.69E-01     7.47E-01     8.15E-01     8.78E-01     9.40E-01     1.01E+00     1.07E+00     1.11E+00     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  6.60E-02     2.15E-01     3.60E-01     4.67E-01     5.49E-01     6.17E-01     6.77E-01     7.34E-01     7.91E-01     8.52E-01     9.12E-01     9.48E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.66E-02     7.33E-02     1.07E-01     1.37E-01     1.64E-01     1.91E-01     2.19E-01     2.49E-01     2.82E-01     3.18E-01     3.41E-01     
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  3.30E-02     1.20E-01     2.23E-01     3.12E-01     3.83E-01     4.45E-01     5.00E-01     5.53E-01     6.08E-01     6.66E-01     7.25E-01     7.60E-01     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  2.94E-02     1.10E-01     2.02E-01     2.82E-01     3.47E-01     4.03E-01     4.53E-01     5.01E-01     5.51E-01     6.06E-01     6.60E-01     6.94E-01     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  2.43E-01     6.04E-01     8.49E-01     1.00E+00     1.10E+00     1.18E+00     1.25E+00     1.31E+00     1.37E+00     1.43E+00     1.50E+00     1.53E+00     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  2.98E-01     6.76E-01     9.19E-01     1.07E+00     1.17E+00     1.24E+00     1.30E+00     1.35E+00     1.40E+00     1.45E+00     1.51E+00     1.54E+00     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  9.99E-01     1.60E+00     1.91E+00     2.09E+00     2.20E+00     2.28E+00     2.34E+00     2.40E+00     2.44E+00     2.49E+00     2.54E+00     2.57E+00     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  4.14E-01     9.54E-01     1.32E+00     1.56E+00     1.72E+00     1.84E+00     1.93E+00     2.01E+00     2.09E+00     2.16E+00     2.23E+00     2.27E+00     
