[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       
Xe           54           0.00000E+00  0.00000E+00  2.55E-01     5.51E-01     7.53E-01     8.85E-01     9.75E-01     1.04E+00     1.10E+00     1.14E+00     1.18E+00     
Cs           55           0.00000E+00  0.00000E+00  3.38E-01     6.54E-01     8.95E-01     1.06E+00     1.17E+00     1.25E+00     1.32E+00     1.37E+00     1.42E+00     
Ba           56           0.00000E+00  0.00000E+00  7.54E-01     1.26E+00     1.53E+00     1.70E+00     1.81E+00     1.88E+00     1.94E+00     2.00E+00     2.04E+00     
La           57           0.00000E+00  0.00000E+00  7.39E-01     1.26E+00     1.54E+00     1.71E+00     1.82E+00     1.90E+00     1.96E+00     2.02E+00     2.06E+00     
Ce           58           0.00000E+00  0.00000E+00  7.57E-01     1.30E+00     1.60E+00     1.78E+00     1.89E+00     1.97E+00     2.04E+00     2.09E+00     2.14E+00     
Pr           59           0.00000E+00  0.00000E+00  5.58E-01     1.07E+00     1.38E+00     1.57E+00     1.70E+00     1.79E+00     1.87E+00     1.93E+00     1.98E+00     
Nd           60           0.00000E+00  0.00000E+00  7.08E-01     1.21E+00     1.49E+00     1.67E+00     1.78E+00     1.86E+00     1.92E+00     1.97E+00     2.02E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  6.52E-01     1.06E+00     1.31E+00     1.46E+00     1.56E+00     1.64E+00     1.71E+00     1.76E+00     1.81E+00     
Eu           63           0.00000E+00  0.00000E+00  2.20E-01     4.72E-01     6.60E-01     7.90E-01     8.85E-01     9.59E-01     1.02E+00     1.07E+00     1.12E+00     
Gd           64           0.00000E+00  0.00000E+00  4.70E-01     8.07E-01     1.03E+00     1.18E+00     1.29E+00     1.38E+00     1.45E+00     1.51E+00     1.56E+00     
Tb           65           0.00000E+00  0.00000E+00  3.14E-01     6.11E-01     8.02E-01     9.35E-01     1.03E+00     1.11E+00     1.17E+00     1.23E+00     1.28E+00     
Dy           66           0.00000E+00  0.00000E+00  4.76E-01     8.30E-01     1.04E+00     1.17E+00     1.27E+00     1.34E+00     1.40E+00     1.46E+00     1.51E+00     
Ho           67           0.00000E+00  0.00000E+00  3.02E-01     5.94E-01     7.86E-01     9.08E-01     9.94E-01     1.06E+00     1.12E+00     1.17E+00     1.21E+00     
Er           68           0.00000E+00  0.00000E+00  5.16E-01     8.87E-01     1.11E+00     1.26E+00     1.35E+00     1.42E+00     1.48E+00     1.53E+00     1.58E+00     
Tm           69           0.00000E+00  0.00000E+00  4.27E-01     8.11E-01     1.03E+00     1.16E+00     1.24E+00     1.31E+00     1.36E+00     1.41E+00     1.46E+00     
Yb           70           0.00000E+00  0.00000E+00  7.93E-01     1.21E+00     1.45E+00     1.61E+00     1.71E+00     1.78E+00     1.84E+00     1.89E+00     1.94E+00     
Lu           71           0.00000E+00  0.00000E+00  5.56E-01     9.63E-01     1.20E+00     1.35E+00     1.44E+00     1.51E+00     1.57E+00     1.62E+00     1.66E+00     
Hf           72           0.00000E+00  0.00000E+00  9.67E-01     1.37E+00     1.61E+00     1.76E+00     1.86E+00     1.94E+00     2.00E+00     2.05E+00     2.10E+00     
Ta           73           0.00000E+00  0.00000E+00  8.47E-01     1.28E+00     1.52E+00     1.67E+00     1.76E+00     1.84E+00     1.89E+00     1.94E+00     1.99E+00     
W            74           0.00000E+00  0.00000E+00  9.88E-01     1.42E+00     1.66E+00     1.81E+00     1.91E+00     1.98E+00     2.03E+00     2.08E+00     2.13E+00     
Re           75           -5.93E-02    -6.19E-02    5.29E-01     9.10E-01     1.16E+00     1.31E+00     1.41E+00     1.48E+00     1.54E+00     1.59E+00     1.64E+00     
Os           76           0.00000E+00  0.00000E+00  3.86E-01     6.99E-01     9.02E-01     1.04E+00     1.13E+00     1.20E+00     1.26E+00     1.31E+00     1.35E+00     
Ir           77           0.00000E+00  0.00000E+00  9.94E-02     2.32E-01     3.48E-01     4.39E-01     5.10E-01     5.66E-01     6.14E-01     6.58E-01     6.98E-01     
Pt           78           0.00000E+00  0.00000E+00  3.35E-01     6.12E-01     7.92E-01     9.14E-01     1.00E+00     1.07E+00     1.12E+00     1.18E+00     1.22E+00     
Au           79           0.00000E+00  0.00000E+00  2.77E-01     5.62E-01     7.51E-01     8.72E-01     9.52E-01     1.01E+00     1.06E+00     1.10E+00     1.14E+00     
Hg           80           0.00000E+00  0.00000E+00  8.78E-01     1.35E+00     1.61E+00     1.76E+00     1.86E+00     1.94E+00     1.99E+00     2.04E+00     2.08E+00     
Tl           81           0.00000E+00  0.00000E+00  9.01E-01     1.46E+00     1.75E+00     1.92E+00     2.03E+00     2.10E+00     2.16E+00     2.21E+00     2.25E+00     
Pb           82           0.00000E+00  0.00000E+00  1.40E+00     2.04E+00     2.36E+00     2.55E+00     2.67E+00     2.75E+00     2.81E+00     2.86E+00     2.90E+00     
Bi           83           0.00000E+00  0.00000E+00  1.07E+00     1.56E+00     1.85E+00     2.04E+00     2.17E+00     2.26E+00     2.34E+00     2.40E+00     2.45E+00     
