[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.36E-02     1.95E-02     2.63E-02     3.44E-02     4.42E-02     5.57E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.35E-02     1.91E-02     2.67E-02     3.73E-02     5.12E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.13E-02     1.71E-02     2.28E-02     2.84E-02     3.53E-02     4.50E-02     5.60E-02     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.21E-02     1.49E-02     1.80E-02     2.19E-02     2.56E-02     
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.85E-02     3.47E-02     5.22E-02     6.75E-02     8.06E-02     9.49E-02     1.10E-01     1.25E-01     
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.18E-02     4.08E-02     6.15E-02     8.06E-02     9.75E-02     1.16E-01     1.36E-01     1.53E-01     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.02E-02     3.78E-02     5.70E-02     7.51E-02     9.14E-02     1.09E-01     1.28E-01     1.45E-01     
Se           34           0.00000E+00  0.00000E+00  0.00000E+00  1.35E-02     3.37E-02     6.06E-02     8.88E-02     1.15E-01     1.38E-01     1.63E-01     1.88E-01     2.10E-01     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.09E-02     3.81E-02     5.72E-02     7.62E-02     9.46E-02     1.15E-01     1.35E-01     1.53E-01     
Kr           36           0.00000E+00  0.00000E+00  0.00000E+00  1.76E-02     4.48E-02     8.06E-02     1.18E-01     1.53E-01     1.85E-01     2.19E-01     2.50E-01     2.80E-01     
Rb           37           0.00000E+00  0.00000E+00  0.00000E+00  2.37E-02     5.03E-02     8.48E-02     1.24E-01     1.67E-01     2.12E-01     2.64E-01     3.17E-01     3.69E-01     
Sr           38           0.00000E+00  0.00000E+00  3.22E-02     1.64E-01     3.42E-01     5.05E-01     6.33E-01     7.34E-01     8.14E-01     8.84E-01     9.43E-01     9.94E-01     
Y            39           0.00000E+00  0.00000E+00  3.51E-02     1.67E-01     3.43E-01     5.06E-01     6.37E-01     7.42E-01     8.29E-01     9.04E-01     9.69E-01     1.03E+00     
Zr           40           0.00000E+00  0.00000E+00  3.65E-02     1.84E-01     3.77E-01     5.46E-01     6.80E-01     7.85E-01     8.70E-01     9.43E-01     1.00E+00     1.06E+00     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.61E-02     5.56E-02     9.55E-02     1.44E-01     1.97E-01     2.53E-01     3.09E-01     3.60E-01     
Mo           42           0.00000E+00  0.00000E+00  1.92E-02     1.21E-01     2.75E-01     4.23E-01     5.45E-01     6.44E-01     7.23E-01     7.90E-01     8.46E-01     8.97E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  1.52E-02     9.91E-02     2.32E-01     3.65E-01     4.79E-01     5.73E-01     6.50E-01     7.15E-01     7.71E-01     8.21E-01     
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  4.75E-02     1.19E-01     2.01E-01     2.78E-01     3.45E-01     4.02E-01     4.52E-01     4.95E-01     5.35E-01     
Pd           46           0.00000E+00  0.00000E+00  2.20E-02     1.37E-01     3.04E-01     4.59E-01     5.85E-01     6.84E-01     7.65E-01     8.31E-01     8.88E-01     9.39E-01     
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  4.54E-02     1.16E-01     1.96E-01     2.73E-01     3.39E-01     3.96E-01     4.45E-01     4.88E-01     5.27E-01     
Cd           48           0.00000E+00  0.00000E+00  2.89E-02     1.68E-01     3.58E-01     5.29E-01     6.65E-01     7.73E-01     8.60E-01     9.32E-01     9.93E-01     1.05E+00     
In           49           0.00000E+00  0.00000E+00  1.84E-02     1.14E-01     2.60E-01     4.02E-01     5.23E-01     6.21E-01     7.02E-01     7.69E-01     8.27E-01     8.79E-01     
Sn           50           0.00000E+00  0.00000E+00  3.03E-02     1.86E-01     3.94E-01     5.75E-01     7.17E-01     8.28E-01     9.17E-01     9.90E-01     1.05E+00     1.11E+00     
Sb           51           0.00000E+00  0.00000E+00  1.41E-02     8.16E-02     1.91E-01     3.09E-01     4.17E-01     5.12E-01     5.94E-01     6.64E-01     7.26E-01     7.84E-01     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  6.70E-02     1.69E-01     2.78E-01     3.74E-01     4.53E-01     5.18E-01     5.72E-01     6.19E-01     6.62E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  2.01E-02     5.58E-02     1.01E-01     1.48E-01     1.91E-01     2.30E-01     2.64E-01     2.95E-01     3.24E-01     
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  7.07E-02     1.78E-01     2.92E-01     3.94E-01     4.79E-01     5.50E-01     6.09E-01     6.61E-01     7.09E-01     
Cs           55           0.00000E+00  0.00000E+00  1.84E-02     8.74E-02     2.03E-01     3.36E-01     4.65E-01     5.79E-01     6.77E-01     7.58E-01     8.29E-01     8.93E-01     
Ba           56           0.00000E+00  0.00000E+00  3.01E-02     3.03E-01     6.20E-01     8.59E-01     1.03E+00     1.16E+00     1.25E+00     1.32E+00     1.39E+00     1.44E+00     
La           57           0.00000E+00  0.00000E+00  2.17E-02     2.76E-01     5.88E-01     8.28E-01     1.00E+00     1.13E+00     1.22E+00     1.29E+00     1.35E+00     1.41E+00     
Ce           58           0.00000E+00  0.00000E+00  1.53E-02     2.74E-01     5.99E-01     8.47E-01     1.02E+00     1.15E+00     1.24E+00     1.31E+00     1.37E+00     1.42E+00     
Pr           59           0.00000E+00  0.00000E+00  1.07E-02     1.63E-01     4.07E-01     6.28E-01     7.99E-01     9.28E-01     1.03E+00     1.11E+00     1.17E+00     1.23E+00     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  1.98E-01     4.77E-01     7.08E-01     8.76E-01     9.97E-01     1.09E+00     1.16E+00     1.21E+00     1.26E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  1.10E-01     3.05E-01     4.95E-01     6.42E-01     7.51E-01     8.33E-01     8.96E-01     9.50E-01     9.98E-01     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  2.11E-02     7.16E-02     1.41E-01     2.10E-01     2.70E-01     3.19E-01     3.60E-01     3.97E-01     4.31E-01     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  5.91E-02     1.75E-01     2.99E-01     4.08E-01     4.97E-01     5.69E-01     6.28E-01     6.79E-01     7.27E-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  3.56E-02     1.16E-01     2.09E-01     2.92E-01     3.58E-01     4.11E-01     4.55E-01     4.93E-01     5.30E-01     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  6.28E-02     1.88E-01     3.22E-01     4.34E-01     5.19E-01     5.84E-01     6.34E-01     6.77E-01     7.17E-01     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  3.00E-02     1.00E-01     1.87E-01     2.67E-01     3.33E-01     3.84E-01     4.25E-01     4.60E-01     4.92E-01     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  6.44E-02     2.00E-01     3.46E-01     4.69E-01     5.63E-01     6.36E-01     6.92E-01     7.40E-01     7.82E-01     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  4.13E-02     1.39E-01     2.56E-01     3.57E-01     4.34E-01     4.91E-01     5.35E-01     5.72E-01     6.06E-01     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  1.30E-01     3.53E-01     5.60E-01     7.18E-01     8.34E-01     9.19E-01     9.84E-01     1.04E+00     1.09E+00     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  7.47E-02     2.28E-01     3.92E-01     5.27E-01     6.28E-01     7.02E-01     7.57E-01     8.03E-01     8.44E-01     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  1.64E-01     4.25E-01     6.51E-01     8.19E-01     9.39E-01     1.03E+00     1.09E+00     1.15E+00     1.20E+00     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  1.29E-01     3.60E-01     5.77E-01     7.43E-01     8.62E-01     9.48E-01     1.01E+00     1.06E+00     1.11E+00     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  1.59E-01     4.22E-01     6.54E-01     8.27E-01     9.50E-01     1.04E+00     1.11E+00     1.16E+00     1.20E+00     
Re           75           -3.09E-02    -3.20E-02    -3.11E-02    0.00000E+00  1.11E-01     2.52E-01     3.90E-01     5.02E-01     5.88E-01     6.54E-01     7.07E-01     7.54E-01     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  3.90E-02     1.22E-01     2.23E-01     3.17E-01     3.94E-01     4.57E-01     5.08E-01     5.51E-01     5.89E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.85E-02     3.77E-02     5.90E-02     7.95E-02     9.81E-02     1.14E-01     1.29E-01     1.43E-01     
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  2.02E-02     7.05E-02     1.36E-01     1.99E-01     2.51E-01     2.93E-01     3.28E-01     3.59E-01     3.87E-01     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  1.60E-02     5.86E-02     1.19E-01     1.80E-01     2.33E-01     2.75E-01     3.08E-01     3.36E-01     3.62E-01     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  1.36E-01     3.77E-01     5.95E-01     7.60E-01     8.77E-01     9.62E-01     1.03E+00     1.08E+00     1.12E+00     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  1.72E-01     4.57E-01     6.95E-01     8.66E-01     9.83E-01     1.07E+00     1.13E+00     1.18E+00     1.22E+00     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  7.11E-02     2.68E-01     4.89E-01     6.66E-01     7.93E-01     8.84E-01     9.51E-01     1.00E+00     1.04E+00     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.39E-02     4.00E-02     7.72E-02     1.18E-01     1.58E-01     1.94E-01     2.26E-01     2.54E-01     
