[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       TDU_14       TDU_15       
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.01E-02     3.33E-02     4.59E-02     5.75E-02     6.88E-02     8.05E-02     9.32E-02     1.08E-01     1.26E-01     1.47E-01     1.72E-01     1.95E-01     2.04E-01     
Cd           48           0.00000E+00  0.00000E+00  0.00000E+00  3.30E-02     8.11E-02     1.32E-01     1.78E-01     2.18E-01     2.53E-01     2.87E-01     3.20E-01     3.56E-01     3.97E-01     4.44E-01     4.98E-01     5.45E-01     5.62E-01     
In           49           0.00000E+00  0.00000E+00  0.00000E+00  2.12E-02     5.34E-02     8.87E-02     1.21E-01     1.49E-01     1.74E-01     1.97E-01     2.21E-01     2.46E-01     2.77E-01     3.13E-01     3.56E-01     3.94E-01     4.10E-01     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  3.72E-02     9.27E-02     1.54E-01     2.10E-01     2.59E-01     3.02E-01     3.41E-01     3.78E-01     4.15E-01     4.55E-01     4.99E-01     5.50E-01     5.94E-01     6.11E-01     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  1.39E-02     3.83E-02     6.95E-02     1.02E-01     1.34E-01     1.64E-01     1.92E-01     2.20E-01     2.48E-01     2.77E-01     3.10E-01     3.47E-01     3.80E-01     3.95E-01     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  1.16E-02     2.90E-02     4.94E-02     7.00E-02     8.97E-02     1.08E-01     1.26E-01     1.44E-01     1.62E-01     1.82E-01     2.04E-01     2.30E-01     2.53E-01     2.61E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.53E-02     2.19E-02     2.82E-02     3.44E-02     4.06E-02     4.71E-02     5.41E-02     6.20E-02     7.12E-02     8.20E-02     9.23E-02     9.70E-02     
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  1.22E-02     3.21E-02     5.53E-02     7.85E-02     1.01E-01     1.22E-01     1.43E-01     1.64E-01     1.87E-01     2.14E-01     2.44E-01     2.78E-01     3.09E-01     3.20E-01     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  1.49E-02     4.48E-02     8.21E-02     1.19E-01     1.53E-01     1.84E-01     2.14E-01     2.42E-01     2.71E-01     3.03E-01     3.39E-01     3.79E-01     4.15E-01     4.30E-01     
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  8.01E-02     1.99E-01     3.14E-01     4.09E-01     4.85E-01     5.45E-01     5.96E-01     6.39E-01     6.79E-01     7.19E-01     7.60E-01     8.01E-01     8.36E-01     8.48E-01     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  7.83E-02     1.98E-01     3.15E-01     4.11E-01     4.89E-01     5.51E-01     6.02E-01     6.45E-01     6.84E-01     7.21E-01     7.59E-01     7.96E-01     8.27E-01     8.38E-01     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  8.64E-02     2.17E-01     3.41E-01     4.41E-01     5.21E-01     5.85E-01     6.37E-01     6.80E-01     7.18E-01     7.53E-01     7.87E-01     8.21E-01     8.48E-01     8.58E-01     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  5.39E-02     1.50E-01     2.53E-01     3.39E-01     4.10E-01     4.67E-01     5.13E-01     5.50E-01     5.84E-01     6.15E-01     6.46E-01     6.76E-01     7.01E-01     7.11E-01     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  6.96E-02     1.81E-01     2.91E-01     3.81E-01     4.53E-01     5.11E-01     5.61E-01     6.04E-01     6.43E-01     6.82E-01     7.21E-01     7.59E-01     7.89E-01     8.01E-01     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  4.02E-02     1.10E-01     1.88E-01     2.61E-01     3.24E-01     3.79E-01     4.27E-01     4.72E-01     5.14E-01     5.56E-01     5.99E-01     6.42E-01     6.77E-01     6.89E-01     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.36E-02     4.45E-02     6.65E-02     8.82E-02     1.08E-01     1.28E-01     1.47E-01     1.66E-01     1.86E-01     2.08E-01     2.32E-01     2.51E-01     2.59E-01     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  1.91E-02     5.73E-02     1.06E-01     1.57E-01     2.04E-01     2.46E-01     2.85E-01     3.22E-01     3.57E-01     3.94E-01     4.33E-01     4.73E-01     5.05E-01     5.16E-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  1.12E-02     3.36E-02     6.33E-02     9.48E-02     1.26E-01     1.54E-01     1.81E-01     2.06E-01     2.31E-01     2.59E-01     2.88E-01     3.19E-01     3.44E-01     3.53E-01     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  1.85E-02     5.23E-02     9.57E-02     1.41E-01     1.85E-01     2.25E-01     2.62E-01     2.96E-01     3.29E-01     3.64E-01     4.01E-01     4.39E-01     4.71E-01     4.83E-01     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  1.30E-02     3.52E-02     6.29E-02     9.15E-02     1.19E-01     1.45E-01     1.69E-01     1.91E-01     2.14E-01     2.40E-01     2.68E-01     2.97E-01     3.17E-01     3.17E-01     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  2.46E-02     6.75E-02     1.20E-01     1.73E-01     2.25E-01     2.72E-01     3.14E-01     3.53E-01     3.91E-01     4.30E-01     4.72E-01     5.15E-01     5.49E-01     5.61E-01     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  1.60E-02     4.36E-02     7.76E-02     1.14E-01     1.50E-01     1.83E-01     2.15E-01     2.44E-01     2.73E-01     3.04E-01     3.38E-01     3.74E-01     4.05E-01     4.18E-01     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  5.24E-02     1.38E-01     2.27E-01     3.09E-01     3.83E-01     4.48E-01     5.07E-01     5.58E-01     6.06E-01     6.55E-01     7.06E-01     7.59E-01     8.01E-01     8.15E-01     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  2.98E-02     8.22E-02     1.38E-01     1.92E-01     2.43E-01     2.89E-01     3.33E-01     3.72E-01     4.10E-01     4.50E-01     4.92E-01     5.37E-01     5.73E-01     5.86E-01     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  7.08E-02     1.86E-01     2.98E-01     3.92E-01     4.74E-01     5.44E-01     6.07E-01     6.62E-01     7.14E-01     7.66E-01     8.20E-01     8.75E-01     9.19E-01     9.34E-01     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  5.95E-02     1.59E-01     2.60E-01     3.46E-01     4.21E-01     4.86E-01     5.45E-01     5.98E-01     6.48E-01     6.99E-01     7.51E-01     8.06E-01     8.50E-01     8.67E-01     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  7.71E-02     1.99E-01     3.13E-01     4.06E-01     4.85E-01     5.51E-01     6.11E-01     6.65E-01     7.15E-01     7.66E-01     8.18E-01     8.72E-01     9.15E-01     9.30E-01     
Re           75           0.00000E+00  -2.04E-02    -2.04E-02    0.00000E+00  5.61E-02     1.14E-01     1.67E-01     2.16E-01     2.60E-01     3.01E-01     3.40E-01     3.79E-01     4.19E-01     4.62E-01     5.08E-01     5.46E-01     5.63E-01     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  1.74E-02     4.99E-02     8.86E-02     1.25E-01     1.60E-01     1.92E-01     2.23E-01     2.52E-01     2.82E-01     3.14E-01     3.48E-01     3.85E-01     4.16E-01     4.27E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.37E-02     2.04E-02     2.72E-02     3.39E-02     4.07E-02     4.77E-02     5.52E-02     6.36E-02     7.33E-02     8.45E-02     9.44E-02     9.82E-02     
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.57E-02     4.83E-02     7.17E-02     9.53E-02     1.18E-01     1.41E-01     1.63E-01     1.86E-01     2.10E-01     2.38E-01     2.68E-01     2.94E-01     3.03E-01     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.35E-02     4.34E-02     6.41E-02     8.48E-02     1.05E-01     1.24E-01     1.44E-01     1.63E-01     1.85E-01     2.09E-01     2.36E-01     2.59E-01     2.67E-01     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  7.57E-02     1.97E-01     3.15E-01     4.10E-01     4.87E-01     5.51E-01     6.07E-01     6.57E-01     7.04E-01     7.53E-01     8.04E-01     8.57E-01     9.01E-01     9.15E-01     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  9.37E-02     2.25E-01     3.47E-01     4.44E-01     5.20E-01     5.80E-01     6.31E-01     6.74E-01     7.15E-01     7.56E-01     8.01E-01     8.49E-01     8.90E-01     9.04E-01     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  4.62E-01     8.40E-01     1.09E+00     1.25E+00     1.37E+00     1.46E+00     1.53E+00     1.59E+00     1.64E+00     1.69E+00     1.74E+00     1.78E+00     1.82E+00     1.83E+00     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  1.29E-01     3.58E-01     5.88E-01     7.75E-01     9.22E-01     1.04E+00     1.13E+00     1.22E+00     1.29E+00     1.36E+00     1.43E+00     1.49E+00     1.55E+00     1.56E+00     
