[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       TDU_14       TDU_15       TDU_16       TDU_17       TDU_18       TDU_19       TDU_20       TDU_21       TDU_22       
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.12E-02     1.45E-02     1.78E-02     2.11E-02     2.42E-02     2.72E-02     3.01E-02     3.28E-02     3.51E-02     3.68E-02     3.79E-02     3.85E-02     3.88E-02     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.18E-02     1.59E-02     2.04E-02     2.51E-02     3.01E-02     3.52E-02     4.02E-02     4.52E-02     5.00E-02     5.46E-02     5.90E-02     6.31E-02     6.66E-02     6.91E-02     7.09E-02     7.19E-02     7.24E-02     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.24E-02     1.53E-02     1.81E-02     2.07E-02     2.32E-02     2.55E-02     2.77E-02     2.96E-02     3.10E-02     3.18E-02     3.20E-02     3.19E-02     3.16E-02     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.37E-02     1.85E-02     2.36E-02     2.91E-02     3.48E-02     4.10E-02     4.72E-02     5.35E-02     5.98E-02     6.57E-02     7.14E-02     7.70E-02     8.20E-02     8.62E-02     8.92E-02     9.12E-02     9.23E-02     9.28E-02     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.12E-02     1.50E-02     1.91E-02     2.34E-02     2.76E-02     3.19E-02     3.61E-02     4.01E-02     4.40E-02     4.77E-02     5.08E-02     5.33E-02     5.50E-02     5.60E-02     5.66E-02     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.49E-02     2.40E-02     3.42E-02     4.47E-02     5.57E-02     6.68E-02     7.83E-02     9.00E-02     1.02E-01     1.13E-01     1.24E-01     1.34E-01     1.44E-01     1.54E-01     1.61E-01     1.67E-01     1.70E-01     1.72E-01     1.73E-01     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.19E-02     1.80E-02     2.43E-02     3.07E-02     3.73E-02     4.40E-02     5.07E-02     5.75E-02     6.40E-02     7.03E-02     7.66E-02     8.22E-02     8.70E-02     9.06E-02     9.29E-02     9.42E-02     9.49E-02     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.97E-02     3.26E-02     4.68E-02     6.13E-02     7.62E-02     9.09E-02     1.06E-01     1.21E-01     1.35E-01     1.49E-01     1.62E-01     1.75E-01     1.88E-01     1.99E-01     2.08E-01     2.15E-01     2.19E-01     2.21E-01     2.22E-01     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.02E-02     2.16E-02     3.43E-02     4.73E-02     6.06E-02     7.38E-02     8.73E-02     1.01E-01     1.14E-01     1.26E-01     1.39E-01     1.50E-01     1.62E-01     1.72E-01     1.81E-01     1.88E-01     1.92E-01     1.94E-01     1.96E-01     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.96E-02     3.41E-02     4.98E-02     6.54E-02     8.09E-02     9.60E-02     1.11E-01     1.26E-01     1.41E-01     1.54E-01     1.67E-01     1.80E-01     1.92E-01     2.03E-01     2.12E-01     2.19E-01     2.23E-01     2.25E-01     2.26E-01     
