[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        
Ag           47           0.00000E+00  0.00000E+00  1.15E-02     4.46E-02     8.48E-02     
Cd           48           0.00000E+00  0.00000E+00  4.64E-02     1.59E-01     2.71E-01     
In           49           0.00000E+00  0.00000E+00  2.87E-02     1.05E-01     1.87E-01     
Sn           50           0.00000E+00  0.00000E+00  3.99E-02     1.47E-01     2.58E-01     
Sb           51           0.00000E+00  0.00000E+00  1.38E-02     5.40E-02     1.02E-01     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  4.27E-02     8.46E-02     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     2.24E-02     
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  3.83E-02     7.66E-02     
Cs           55           0.00000E+00  0.00000E+00  1.50E-02     4.80E-02     8.49E-02     
Ba           56           0.00000E+00  0.00000E+00  2.14E-02     1.07E-01     2.08E-01     
La           57           0.00000E+00  0.00000E+00  1.23E-02     7.13E-02     1.47E-01     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  5.42E-02     1.19E-01     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  2.74E-02     6.18E-02     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  3.06E-02     7.11E-02     
Pm           61           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  1.37E-02     3.34E-02     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.61E-02     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.76E-02     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.78E-02     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  1.70E-02     4.05E-02     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.67E-02     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  2.31E-02     5.28E-02     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  1.59E-02     3.79E-02     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  2.15E-02     4.99E-02     
Re           75           -1.28E-01    -1.30E-01    -1.29E-01    -1.25E-01    -1.17E-01    
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  1.11E-02     1.64E-02     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  1.98E-02     4.48E-02     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  2.31E-02     5.51E-02     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.96E-02     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
