[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        
I            53           0.00000E+00  1.72E-02     5.39E-02     9.23E-02     1.37E-01     1.74E-01     2.04E-01     2.28E-01     2.46E-01     2.58E-01     
Xe           54           0.00000E+00  8.22E-02     2.06E-01     3.09E-01     4.10E-01     4.84E-01     5.41E-01     5.83E-01     6.15E-01     6.36E-01     
Cs           55           0.00000E+00  1.01E-01     2.53E-01     3.82E-01     5.18E-01     6.17E-01     6.91E-01     7.46E-01     7.86E-01     8.11E-01     
Ba           56           0.00000E+00  2.84E-01     6.52E-01     8.84E-01     1.09E+00     1.22E+00     1.31E+00     1.38E+00     1.43E+00     1.45E+00     
La           57           0.00000E+00  2.54E-01     6.32E-01     8.73E-01     1.09E+00     1.23E+00     1.32E+00     1.39E+00     1.44E+00     1.47E+00     
Ce           58           0.00000E+00  2.24E-01     6.57E-01     9.27E-01     1.17E+00     1.31E+00     1.41E+00     1.48E+00     1.53E+00     1.57E+00     
Pr           59           0.00000E+00  1.36E-01     4.83E-01     7.37E-01     9.78E-01     1.13E+00     1.23E+00     1.31E+00     1.36E+00     1.40E+00     
Nd           60           0.00000E+00  2.03E-01     5.89E-01     8.44E-01     1.08E+00     1.22E+00     1.32E+00     1.39E+00     1.44E+00     1.48E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  1.86E-01     4.80E-01     6.87E-01     8.85E-01     1.01E+00     1.11E+00     1.18E+00     1.23E+00     1.26E+00     
Eu           63           0.00000E+00  4.39E-02     1.44E-01     2.44E-01     3.61E-01     4.50E-01     5.19E-01     5.72E-01     6.13E-01     6.39E-01     
Gd           64           0.00000E+00  1.14E-01     3.04E-01     4.65E-01     6.37E-01     7.59E-01     8.48E-01     9.16E-01     9.67E-01     9.99E-01     
Tb           65           0.00000E+00  6.62E-02     1.96E-01     3.16E-01     4.50E-01     5.51E-01     6.27E-01     6.87E-01     7.32E-01     7.61E-01     
Dy           66           0.00000E+00  1.17E-01     3.22E-01     4.82E-01     6.43E-01     7.53E-01     8.35E-01     8.96E-01     9.43E-01     9.73E-01     
Ho           67           0.00000E+00  6.18E-02     1.94E-01     3.10E-01     4.37E-01     5.28E-01     5.96E-01     6.48E-01     6.88E-01     7.13E-01     
Er           68           0.00000E+00  1.38E-01     3.67E-01     5.40E-01     7.14E-01     8.30E-01     9.13E-01     9.75E-01     1.02E+00     1.05E+00     
Tm           69           0.00000E+00  8.81E-02     2.63E-01     4.05E-01     5.52E-01     6.52E-01     7.25E-01     7.82E-01     8.24E-01     8.52E-01     
Yb           70           0.00000E+00  2.83E-01     6.20E-01     8.40E-01     1.04E+00     1.17E+00     1.26E+00     1.32E+00     1.37E+00     1.40E+00     
Lu           71           0.00000E+00  2.09E-01     5.16E-01     7.23E-01     9.11E-01     1.03E+00     1.11E+00     1.18E+00     1.22E+00     1.25E+00     
Hf           72           0.00000E+00  3.73E-01     7.37E-01     9.62E-01     1.16E+00     1.29E+00     1.38E+00     1.45E+00     1.50E+00     1.53E+00     
Ta           73           0.00000E+00  3.33E-01     6.91E-01     9.13E-01     1.11E+00     1.23E+00     1.32E+00     1.39E+00     1.43E+00     1.46E+00     
