[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       
Tm           69           0.00000E+00  0.00000E+00  6.64E-02     2.64E-01     4.33E-01     5.43E-01     6.23E-01     6.88E-01     7.48E-01     8.05E-01     8.59E-01     9.16E-01     
Yb           70           0.00000E+00  0.00000E+00  2.58E-01     6.17E-01     8.65E-01     1.03E+00     1.14E+00     1.23E+00     1.30E+00     1.36E+00     1.42E+00     1.48E+00     
Lu           71           0.00000E+00  0.00000E+00  1.29E-01     4.12E-01     6.35E-01     7.82E-01     8.84E-01     9.62E-01     1.03E+00     1.09E+00     1.14E+00     1.20E+00     
Hf           72           0.00000E+00  0.00000E+00  3.45E-01     7.33E-01     9.87E-01     1.15E+00     1.27E+00     1.36E+00     1.44E+00     1.50E+00     1.56E+00     1.62E+00     
Ta           73           0.00000E+00  0.00000E+00  2.63E-01     6.50E-01     9.08E-01     1.07E+00     1.19E+00     1.27E+00     1.34E+00     1.40E+00     1.46E+00     1.52E+00     
W            74           0.00000E+00  0.00000E+00  3.40E-01     7.60E-01     1.02E+00     1.19E+00     1.31E+00     1.39E+00     1.45E+00     1.51E+00     1.57E+00     1.62E+00     
Re           75           -4.26E-02    -4.48E-02    9.49E-02     3.30E-01     5.61E-01     7.27E-01     8.43E-01     9.25E-01     9.94E-01     1.05E+00     1.11E+00     1.16E+00     
Os           76           0.00000E+00  0.00000E+00  1.09E-01     3.03E-01     4.70E-01     6.03E-01     7.05E-01     7.84E-01     8.51E-01     9.10E-01     9.64E-01     1.02E+00     
Ir           77           0.00000E+00  0.00000E+00  1.53E-02     5.59E-02     1.03E-01     1.50E-01     1.94E-01     2.33E-01     2.68E-01     3.02E-01     3.35E-01     3.70E-01     
Pt           78           0.00000E+00  0.00000E+00  5.83E-02     1.93E-01     3.16E-01     4.12E-01     4.94E-01     5.63E-01     6.25E-01     6.81E-01     7.35E-01     7.89E-01     
Au           79           0.00000E+00  0.00000E+00  4.04E-02     1.59E-01     2.86E-01     3.81E-01     4.53E-01     5.11E-01     5.63E-01     6.10E-01     6.55E-01     7.01E-01     
Hg           80           0.00000E+00  0.00000E+00  3.08E-01     7.29E-01     1.00E+00     1.18E+00     1.30E+00     1.38E+00     1.45E+00     1.51E+00     1.56E+00     1.61E+00     
Tl           81           0.00000E+00  0.00000E+00  4.36E-01     9.01E-01     1.17E+00     1.34E+00     1.46E+00     1.54E+00     1.61E+00     1.67E+00     1.72E+00     1.77E+00     
Pb           82           0.00000E+00  0.00000E+00  6.72E-01     1.36E+00     1.74E+00     1.97E+00     2.11E+00     2.21E+00     2.29E+00     2.35E+00     2.41E+00     2.45E+00     
Bi           83           0.00000E+00  0.00000E+00  1.65E-01     5.58E-01     9.08E-01     1.17E+00     1.35E+00     1.50E+00     1.61E+00     1.70E+00     1.79E+00     1.85E+00     
