[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        
Lu           71           0.00000E+00  1.82E-01     4.33E-01     6.49E-01     7.96E-01     8.81E-01     9.40E-01     9.72E-01     
Hf           72           0.00000E+00  3.32E-01     6.49E-01     8.86E-01     1.04E+00     1.13E+00     1.20E+00     1.23E+00     
Ta           73           0.00000E+00  2.96E-01     6.00E-01     8.37E-01     9.92E-01     1.08E+00     1.14E+00     1.18E+00     
W            74           0.00000E+00  3.79E-01     7.07E-01     9.54E-01     1.11E+00     1.20E+00     1.27E+00     1.30E+00     
Re           75           -1.10E-01    8.88E-02     3.15E-01     5.14E-01     6.60E-01     7.50E-01     8.14E-01     8.51E-01     
Os           76           0.00000E+00  1.31E-01     2.91E-01     4.39E-01     5.52E-01     6.22E-01     6.73E-01     7.02E-01     
Ir           77           0.00000E+00  2.01E-02     5.34E-02     9.36E-02     1.31E-01     1.58E-01     1.80E-01     1.93E-01     
Pt           78           0.00000E+00  8.04E-02     1.82E-01     2.91E-01     3.76E-01     4.30E-01     4.70E-01     4.93E-01     
Au           79           0.00000E+00  7.24E-02     1.67E-01     2.74E-01     3.58E-01     4.12E-01     4.51E-01     4.73E-01     
Hg           80           0.00000E+00  4.36E-01     7.82E-01     1.02E+00     1.17E+00     1.25E+00     1.31E+00     1.34E+00     
Tl           81           0.00000E+00  4.60E-01     8.59E-01     1.12E+00     1.29E+00     1.38E+00     1.44E+00     1.47E+00     
Pb           82           0.00000E+00  1.08E+00     1.76E+00     2.11E+00     2.31E+00     2.41E+00     2.48E+00     2.52E+00     
Bi           83           0.00000E+00  6.59E-01     1.15E+00     1.43E+00     1.61E+00     1.72E+00     1.79E+00     1.83E+00     
