[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        
Cs           55           -3.64E-09    7.50E-04     3.83E-03     7.89E-03     1.54E-02     2.15E-02     
Ba           56           5.77E-08     7.44E-04     7.10E-03     1.93E-02     4.28E-02     6.08E-02     
La           57           4.58E-07     2.78E-04     3.93E-03     1.15E-02     2.76E-02     4.00E-02     
Ce           58           4.58E-07     1.34E-04     2.20E-03     6.83E-03     1.78E-02     2.65E-02     
Pr           59           4.58E-07     2.94E-05     8.67E-04     2.80E-03     7.79E-03     1.19E-02     
Nd           60           4.58E-07     2.79E-05     1.01E-03     3.30E-03     9.17E-03     1.39E-02     
Pm           61           \N           \N           \N           \N           \N           \N           
Sm           62           4.00E-07     -5.81E-05    1.09E-04     7.18E-04     2.86E-03     4.56E-03     
Eu           63           4.58E-07     -2.16E-04    -8.78E-04    -1.99E-03    -3.21E-03    -4.51E-03    
Gd           64           4.58E-07     -9.14E-05    -2.77E-04    -2.57E-04    6.41E-04     1.28E-03     
Tb           65           4.58E-07     -1.83E-04    -7.07E-04    -1.43E-03    -1.85E-03    -2.34E-03    
Dy           66           4.58E-07     -1.04E-04    -2.77E-04    -2.29E-04    7.39E-04     1.57E-03     
Ho           67           4.58E-07     -1.88E-04    -7.27E-04    -1.52E-03    -2.12E-03    -2.78E-03    
Er           68           4.58E-07     -8.32E-05    -1.81E-04    4.12E-05     1.33E-03     2.53E-03     
Tm           69           4.58E-07     -1.54E-04    -4.58E-04    -6.65E-04    -3.65E-05    6.43E-04     
Yb           70           4.58E-07     1.14E-04     7.63E-04     2.18E-03     5.60E-03     8.76E-03     
Lu           71           -2.35E-03    -2.39E-03    -2.43E-03    -2.46E-03    -1.75E-03    -1.27E-03    
Hf           72           4.81E-04     9.28E-04     2.16E-03     4.30E-03     8.61E-03     1.22E-02     
Ta           73           4.58E-07     2.49E-04     9.45E-04     2.15E-03     4.89E-03     7.12E-03     
W            74           4.58E-07     4.83E-04     1.80E-03     3.88E-03     7.91E-03     1.11E-02     
Re           75           -1.07E-01    -1.04E-01    -1.04E-01    -1.05E-01    -1.05E-01    -1.05E-01    
Os           76           7.17E-03     6.88E-03     6.52E-03     5.95E-03     5.44E-03     4.75E-03     
Ir           77           2.78E-07     -2.15E-04    -9.20E-04    -2.13E-03    -3.65E-03    -5.24E-03    
Pt           78           4.58E-07     -1.18E-04    -4.03E-04    -5.37E-04    -2.09E-04    2.12E-04     
Au           79           4.58E-07     -1.69E-04    -6.02E-04    -1.13E-03    -1.42E-03    -1.51E-03    
Hg           80           4.58E-07     6.09E-04     2.73E-03     5.99E-03     1.09E-02     1.54E-02     
Tl           81           4.58E-07     8.81E-04     3.43E-03     6.83E-03     1.14E-02     1.48E-02     
Pb           82           4.58E-07     1.05E-04     7.24E-04     1.73E-03     3.16E-03     4.31E-03     
Bi           83           4.58E-07     -6.05E-06    -5.97E-06    5.33E-07     2.65E-05     5.19E-05     
