[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       TDU_14       TDU_15       
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.12E-02     1.26E-02     1.40E-02     1.55E-02     1.70E-02     1.87E-02     2.02E-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.09E-02     1.20E-02     1.30E-02     
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.15E-02     1.61E-02     2.05E-02     2.47E-02     2.87E-02     3.25E-02     3.62E-02     3.98E-02     4.36E-02     4.77E-02     5.22E-02     5.67E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  1.42E-02     2.25E-02     2.94E-02     3.49E-02     3.93E-02     4.31E-02     4.65E-02     4.97E-02     5.28E-02     5.61E-02     5.98E-02     6.39E-02     6.82E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  1.02E-02     2.84E-02     4.76E-02     6.44E-02     7.82E-02     8.97E-02     9.93E-02     1.08E-01     1.15E-01     1.22E-01     1.28E-01     1.34E-01     1.41E-01     1.47E-01     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.34E-02     2.08E-02     2.80E-02     3.49E-02     4.12E-02     4.70E-02     5.22E-02     5.71E-02     6.18E-02     6.65E-02     7.09E-02     7.48E-02     
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  2.84E-02     5.82E-02     9.19E-02     1.25E-01     1.56E-01     1.84E-01     2.08E-01     2.30E-01     2.49E-01     2.67E-01     2.85E-01     3.01E-01     3.15E-01     
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  3.01E-02     6.22E-02     9.87E-02     1.35E-01     1.69E-01     1.99E-01     2.26E-01     2.49E-01     2.70E-01     2.90E-01     3.09E-01     3.27E-01     3.42E-01     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  2.55E-02     5.41E-02     8.73E-02     1.21E-01     1.52E-01     1.81E-01     2.06E-01     2.28E-01     2.47E-01     2.66E-01     2.85E-01     3.02E-01     3.16E-01     
Se           34           0.00000E+00  0.00000E+00  0.00000E+00  3.74E-02     8.04E-02     1.28E-01     1.74E-01     2.16E-01     2.53E-01     2.84E-01     3.11E-01     3.36E-01     3.59E-01     3.80E-01     4.01E-01     4.18E-01     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  2.35E-02     5.39E-02     9.34E-02     1.34E-01     1.71E-01     2.05E-01     2.34E-01     2.60E-01     2.83E-01     3.04E-01     3.24E-01     3.43E-01     3.59E-01     
Kr           36           0.00000E+00  0.00000E+00  0.00000E+00  3.19E-02     7.55E-02     1.27E-01     1.79E-01     2.26E-01     2.67E-01     3.02E-01     3.32E-01     3.59E-01     3.84E-01     4.08E-01     4.30E-01     4.49E-01     
Rb           37           0.00000E+00  0.00000E+00  1.21E-02     5.50E-02     1.02E-01     1.47E-01     1.89E-01     2.27E-01     2.59E-01     2.87E-01     3.11E-01     3.33E-01     3.54E-01     3.76E-01     3.96E-01     4.13E-01     
Sr           38           0.00000E+00  0.00000E+00  1.03E-02     1.24E-01     3.25E-01     5.18E-01     6.71E-01     7.88E-01     8.76E-01     9.42E-01     9.94E-01     1.04E+00     1.08E+00     1.11E+00     1.14E+00     1.17E+00     
Y            39           0.00000E+00  0.00000E+00  0.00000E+00  1.01E-01     2.78E-01     4.53E-01     5.97E-01     7.08E-01     7.92E-01     8.56E-01     9.06E-01     9.47E-01     9.84E-01     1.02E+00     1.05E+00     1.07E+00     
Zr           40           0.00000E+00  0.00000E+00  0.00000E+00  6.71E-02     2.24E-01     3.97E-01     5.41E-01     6.52E-01     7.35E-01     7.97E-01     8.44E-01     8.83E-01     9.17E-01     9.48E-01     9.76E-01     9.99E-01     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.04E-02     5.91E-02     1.16E-01     1.79E-01     2.42E-01     3.00E-01     3.52E-01     3.98E-01     4.38E-01     4.74E-01     5.05E-01     5.32E-01     
Mo           42           0.00000E+00  0.00000E+00  0.00000E+00  2.50E-02     1.16E-01     2.38E-01     3.52E-01     4.46E-01     5.19E-01     5.74E-01     6.16E-01     6.51E-01     6.82E-01     7.09E-01     7.34E-01     7.54E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  0.00000E+00  1.80E-02     8.83E-02     1.91E-01     2.92E-01     3.77E-01     4.44E-01     4.95E-01     5.35E-01     5.68E-01     5.96E-01     6.21E-01     6.44E-01     6.62E-01     
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.11E-02     9.39E-02     1.51E-01     2.02E-01     2.45E-01     2.78E-01     3.05E-01     3.27E-01     3.47E-01     3.65E-01     3.82E-01     3.95E-01     
Pd           46           0.00000E+00  0.00000E+00  0.00000E+00  2.32E-02     1.13E-01     2.36E-01     3.52E-01     4.46E-01     5.18E-01     5.72E-01     6.13E-01     6.46E-01     6.75E-01     7.01E-01     7.24E-01     7.43E-01     
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.48E-02     8.22E-02     1.35E-01     1.84E-01     2.25E-01     2.58E-01     2.84E-01     3.07E-01     3.27E-01     3.45E-01     3.61E-01     3.75E-01     
Cd           48           0.00000E+00  0.00000E+00  0.00000E+00  2.59E-02     1.26E-01     2.60E-01     3.84E-01     4.83E-01     5.59E-01     6.15E-01     6.57E-01     6.91E-01     7.21E-01     7.48E-01     7.72E-01     7.91E-01     
In           49           0.00000E+00  0.00000E+00  0.00000E+00  1.56E-02     8.17E-02     1.79E-01     2.75E-01     3.56E-01     4.19E-01     4.67E-01     5.03E-01     5.33E-01     5.59E-01     5.83E-01     6.04E-01     6.21E-01     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  2.04E-02     1.12E-01     2.42E-01     3.64E-01     4.62E-01     5.36E-01     5.91E-01     6.32E-01     6.65E-01     6.94E-01     7.19E-01     7.42E-01     7.60E-01     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.99E-02     9.52E-02     1.55E-01     2.09E-01     2.53E-01     2.88E-01     3.15E-01     3.37E-01     3.56E-01     3.74E-01     3.90E-01     4.02E-01     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.07E-02     7.79E-02     1.31E-01     1.80E-01     2.21E-01     2.53E-01     2.78E-01     2.98E-01     3.15E-01     3.31E-01     3.45E-01     3.56E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.09E-02     3.77E-02     5.44E-02     6.92E-02     8.12E-02     9.08E-02     9.88E-02     1.06E-01     1.12E-01     1.18E-01     1.22E-01     
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.69E-02     6.99E-02     1.19E-01     1.65E-01     2.04E-01     2.34E-01     2.58E-01     2.77E-01     2.94E-01     3.09E-01     3.23E-01     3.34E-01     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.59E-02     7.75E-02     1.24E-01     1.68E-01     2.05E-01     2.35E-01     2.59E-01     2.79E-01     2.97E-01     3.14E-01     3.29E-01     3.42E-01     
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  7.76E-02     1.99E-01     3.24E-01     4.28E-01     5.08E-01     5.67E-01     6.11E-01     6.45E-01     6.74E-01     6.99E-01     7.20E-01     7.36E-01     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.20E-02     1.46E-01     2.53E-01     3.48E-01     4.23E-01     4.79E-01     5.22E-01     5.55E-01     5.83E-01     6.07E-01     6.28E-01     6.43E-01     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.03E-02     1.25E-01     2.28E-01     3.24E-01     4.01E-01     4.59E-01     5.03E-01     5.37E-01     5.66E-01     5.90E-01     6.11E-01     6.26E-01     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.04E-02     6.47E-02     1.24E-01     1.86E-01     2.41E-01     2.85E-01     3.19E-01     3.47E-01     3.70E-01     3.91E-01     4.09E-01     4.23E-01     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.28E-02     7.74E-02     1.51E-01     2.25E-01     2.88E-01     3.38E-01     3.76E-01     4.06E-01     4.31E-01     4.53E-01     4.71E-01     4.85E-01     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.02E-02     3.70E-02     7.65E-02     1.21E-01     1.61E-01     1.95E-01     2.22E-01     2.44E-01     2.63E-01     2.79E-01     2.93E-01     3.03E-01     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.09E-02     1.91E-02     2.73E-02     3.46E-02     4.06E-02     4.57E-02     5.01E-02     5.39E-02     5.69E-02     5.90E-02     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.87E-02     4.11E-02     6.63E-02     8.98E-02     1.09E-01     1.25E-01     1.38E-01     1.49E-01     1.59E-01     1.67E-01     1.73E-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.19E-02     3.71E-02     5.20E-02     6.47E-02     7.51E-02     8.37E-02     9.10E-02     9.74E-02     1.03E-01     1.07E-01     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.07E-02     4.48E-02     7.24E-02     9.84E-02     1.20E-01     1.38E-01     1.52E-01     1.64E-01     1.75E-01     1.84E-01     1.91E-01     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.73E-02     2.97E-02     4.20E-02     5.27E-02     6.15E-02     6.88E-02     7.50E-02     8.05E-02     8.50E-02     8.83E-02     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.00E-02     4.41E-02     7.22E-02     9.92E-02     1.22E-01     1.41E-01     1.56E-01     1.69E-01     1.81E-01     1.91E-01     1.99E-01     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.16E-02     2.69E-02     4.55E-02     6.39E-02     8.00E-02     9.34E-02     1.05E-01     1.14E-01     1.23E-01     1.30E-01     1.36E-01     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.25E-02     4.51E-02     9.39E-02     1.47E-01     1.96E-01     2.35E-01     2.67E-01     2.92E-01     3.13E-01     3.32E-01     3.48E-01     3.60E-01     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.20E-02     4.96E-02     8.17E-02     1.12E-01     1.39E-01     1.60E-01     1.77E-01     1.92E-01     2.06E-01     2.17E-01     2.25E-01     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.63E-02     5.77E-02     1.19E-01     1.84E-01     2.42E-01     2.89E-01     3.24E-01     3.53E-01     3.77E-01     3.98E-01     4.16E-01     4.29E-01     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.12E-02     4.15E-02     8.86E-02     1.42E-01     1.91E-01     2.32E-01     2.64E-01     2.90E-01     3.12E-01     3.31E-01     3.48E-01     3.60E-01     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.53E-02     5.49E-02     1.14E-01     1.78E-01     2.36E-01     2.82E-01     3.18E-01     3.47E-01     3.71E-01     3.93E-01     4.10E-01     4.24E-01     
Re           75           -4.68E-02    -4.89E-02    -4.90E-02    -4.90E-02    -4.61E-02    -3.72E-02    -2.11E-02    0.00000E+00  1.83E-02     3.59E-02     5.07E-02     6.34E-02     7.45E-02     8.47E-02     9.35E-02     1.00E-01     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.35E-02     2.69E-02     4.30E-02     5.88E-02     7.25E-02     8.36E-02     9.29E-02     1.01E-01     1.08E-01     1.13E-01     1.18E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.33E-02     2.31E-02     3.29E-02     4.15E-02     4.87E-02     5.47E-02     5.99E-02     6.45E-02     6.85E-02     7.14E-02     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.70E-02     2.48E-02     3.18E-02     3.78E-02     4.29E-02     4.74E-02     5.15E-02     5.50E-02     5.78E-02     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.39E-02     4.81E-02     1.01E-01     1.60E-01     2.13E-01     2.57E-01     2.91E-01     3.18E-01     3.41E-01     3.61E-01     3.78E-01     3.92E-01     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.67E-02     6.17E-02     1.32E-01     2.07E-01     2.73E-01     3.24E-01     3.63E-01     3.93E-01     4.18E-01     4.39E-01     4.56E-01     4.68E-01     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.07E-02     5.07E-02     8.85E-02     1.26E-01     1.58E-01     1.83E-01     2.04E-01     2.21E-01     2.35E-01     2.47E-01     2.56E-01     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
