[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       TDU_14       
Nb           41           0.00000E+00  0.00000E+00  1.15E-02     4.84E-02     1.25E-01     2.24E-01     3.24E-01     4.14E-01     4.95E-01     5.64E-01     6.26E-01     6.80E-01     7.27E-01     7.68E-01     8.04E-01     
Mo           42           0.00000E+00  0.00000E+00  5.70E-02     2.38E-01     4.37E-01     5.95E-01     7.15E-01     8.07E-01     8.78E-01     9.35E-01     9.84E-01     1.03E+00     1.06E+00     1.10E+00     1.13E+00     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  2.96E-02     1.83E-01     3.67E-01     5.20E-01     6.37E-01     7.27E-01     7.97E-01     8.54E-01     9.02E-01     9.44E-01     9.81E-01     1.01E+00     1.04E+00     
Rh           45           0.00000E+00  0.00000E+00  1.20E-02     8.75E-02     1.96E-01     2.99E-01     3.85E-01     4.54E-01     5.11E-01     5.58E-01     5.98E-01     6.33E-01     6.66E-01     6.95E-01     7.20E-01     
Pd           46           0.00000E+00  0.00000E+00  3.71E-02     2.20E-01     4.34E-01     6.05E-01     7.31E-01     8.26E-01     9.00E-01     9.58E-01     1.01E+00     1.05E+00     1.09E+00     1.12E+00     1.15E+00     
Ag           47           0.00000E+00  0.00000E+00  1.08E-02     7.59E-02     1.78E-01     2.79E-01     3.66E-01     4.37E-01     4.95E-01     5.44E-01     5.85E-01     6.22E-01     6.55E-01     6.86E-01     7.11E-01     
Cd           48           0.00000E+00  0.00000E+00  5.50E-02     2.64E-01     4.96E-01     6.75E-01     8.07E-01     9.05E-01     9.81E-01     1.04E+00     1.09E+00     1.14E+00     1.18E+00     1.21E+00     1.24E+00     
In           49           0.00000E+00  0.00000E+00  3.53E-02     1.87E-01     3.75E-01     5.31E-01     6.50E-01     7.41E-01     8.12E-01     8.69E-01     9.17E-01     9.59E-01     9.97E-01     1.03E+00     1.06E+00     
Sn           50           0.00000E+00  0.00000E+00  7.58E-02     3.10E-01     5.50E-01     7.31E-01     8.62E-01     9.60E-01     1.03E+00     1.09E+00     1.14E+00     1.18E+00     1.22E+00     1.26E+00     1.29E+00     
Sb           51           0.00000E+00  0.00000E+00  3.88E-02     1.61E-01     3.05E-01     4.30E-01     5.28E-01     6.05E-01     6.67E-01     7.18E-01     7.61E-01     8.00E-01     8.35E-01     8.68E-01     8.96E-01     
Te           52           0.00000E+00  0.00000E+00  2.07E-02     1.17E-01     2.55E-01     3.80E-01     4.80E-01     5.57E-01     6.17E-01     6.66E-01     7.07E-01     7.42E-01     7.73E-01     8.02E-01     8.26E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  3.60E-02     8.84E-02     1.45E-01     1.97E-01     2.42E-01     2.79E-01     3.10E-01     3.38E-01     3.63E-01     3.85E-01     4.06E-01     4.24E-01     
Xe           54           0.00000E+00  0.00000E+00  1.96E-02     1.19E-01     2.60E-01     3.88E-01     4.89E-01     5.67E-01     6.28E-01     6.78E-01     7.19E-01     7.54E-01     7.86E-01     8.15E-01     8.40E-01     
Cs           55           0.00000E+00  0.00000E+00  3.93E-02     2.11E-01     3.50E-01     4.64E-01     5.55E-01     6.30E-01     6.92E-01     7.44E-01     7.89E-01     8.29E-01     8.66E-01     9.01E-01     9.30E-01     
Ba           56           0.00000E+00  0.00000E+00  5.50E-02     3.90E-01     7.17E-01     9.40E-01     1.09E+00     1.19E+00     1.27E+00     1.33E+00     1.37E+00     1.41E+00     1.45E+00     1.48E+00     1.50E+00     
La           57           0.00000E+00  0.00000E+00  3.72E-02     3.40E-01     6.59E-01     8.79E-01     1.03E+00     1.13E+00     1.21E+00     1.26E+00     1.31E+00     1.34E+00     1.37E+00     1.40E+00     1.43E+00     
Ce           58           0.00000E+00  0.00000E+00  2.34E-02     3.09E-01     6.37E-01     8.65E-01     1.02E+00     1.12E+00     1.20E+00     1.25E+00     1.29E+00     1.33E+00     1.36E+00     1.38E+00     1.40E+00     
Pr           59           0.00000E+00  0.00000E+00  1.56E-02     2.08E-01     4.48E-01     6.36E-01     7.72E-01     8.70E-01     9.42E-01     9.96E-01     1.04E+00     1.07E+00     1.11E+00     1.13E+00     1.16E+00     
Nd           60           0.00000E+00  0.00000E+00  1.23E-02     2.17E-01     4.94E-01     7.02E-01     8.46E-01     9.46E-01     1.02E+00     1.07E+00     1.11E+00     1.14E+00     1.17E+00     1.20E+00     1.22E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  1.18E-01     3.07E-01     4.73E-01     5.98E-01     6.88E-01     7.54E-01     8.03E-01     8.41E-01     8.72E-01     8.98E-01     9.21E-01     9.40E-01     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  2.35E-02     7.18E-02     1.28E-01     1.80E-01     2.24E-01     2.60E-01     2.88E-01     3.11E-01     3.31E-01     3.48E-01     3.63E-01     3.76E-01     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  6.17E-02     1.80E-01     2.97E-01     3.90E-01     4.59E-01     5.10E-01     5.48E-01     5.79E-01     6.04E-01     6.25E-01     6.45E-01     6.61E-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  3.39E-02     1.11E-01     1.97E-01     2.70E-01     3.28E-01     3.71E-01     4.04E-01     4.31E-01     4.52E-01     4.71E-01     4.87E-01     5.00E-01     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  6.07E-02     1.86E-01     3.12E-01     4.12E-01     4.86E-01     5.41E-01     5.81E-01     6.13E-01     6.39E-01     6.60E-01     6.79E-01     6.94E-01     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  2.69E-02     8.95E-02     1.63E-01     2.29E-01     2.81E-01     3.22E-01     3.54E-01     3.79E-01     4.00E-01     4.17E-01     4.33E-01     4.46E-01     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  6.22E-02     1.87E-01     3.15E-01     4.18E-01     4.95E-01     5.52E-01     5.95E-01     6.29E-01     6.56E-01     6.79E-01     7.00E-01     7.16E-01     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  3.64E-02     1.23E-01     2.21E-01     3.07E-01     3.76E-01     4.27E-01     4.67E-01     4.98E-01     5.23E-01     5.44E-01     5.63E-01     5.77E-01     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  1.36E-01     3.49E-01     5.30E-01     6.62E-01     7.56E-01     8.24E-01     8.74E-01     9.13E-01     9.44E-01     9.71E-01     9.94E-01     1.01E+00     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  7.24E-02     2.15E-01     3.56E-01     4.67E-01     5.50E-01     6.12E-01     6.58E-01     6.94E-01     7.24E-01     7.48E-01     7.70E-01     7.88E-01     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  1.72E-01     4.18E-01     6.16E-01     7.57E-01     8.56E-01     9.26E-01     9.78E-01     1.02E+00     1.05E+00     1.08E+00     1.10E+00     1.12E+00     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  1.28E-01     3.38E-01     5.22E-01     6.58E-01     7.57E-01     8.28E-01     8.81E-01     9.22E-01     9.56E-01     9.84E-01     1.01E+00     1.03E+00     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  1.61E-01     4.05E-01     6.03E-01     7.45E-01     8.46E-01     9.18E-01     9.71E-01     1.01E+00     1.05E+00     1.07E+00     1.10E+00     1.12E+00     
Re           75           -4.35E-02    -4.51E-02    -4.37E-02    1.26E-02     1.01E-01     2.01E-01     2.90E-01     3.62E-01     4.20E-01     4.66E-01     5.04E-01     5.35E-01     5.63E-01     5.88E-01     6.08E-01     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  3.86E-02     1.18E-01     2.05E-01     2.79E-01     3.37E-01     3.82E-01     4.16E-01     4.44E-01     4.66E-01     4.85E-01     5.02E-01     5.16E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.52E-02     3.13E-02     4.73E-02     6.12E-02     7.24E-02     8.14E-02     8.87E-02     9.47E-02     9.98E-02     1.04E-01     1.08E-01     
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  1.52E-02     5.91E-02     1.14E-01     1.66E-01     2.08E-01     2.41E-01     2.67E-01     2.88E-01     3.05E-01     3.19E-01     3.32E-01     3.42E-01     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  1.26E-02     4.77E-02     9.33E-02     1.38E-01     1.76E-01     2.08E-01     2.33E-01     2.53E-01     2.70E-01     2.85E-01     2.98E-01     3.09E-01     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  1.19E-01     3.38E-01     5.29E-01     6.68E-01     7.67E-01     8.38E-01     8.91E-01     9.31E-01     9.64E-01     9.91E-01     1.01E+00     1.03E+00     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  1.42E-01     4.02E-01     6.19E-01     7.72E-01     8.78E-01     9.53E-01     1.01E+00     1.05E+00     1.08E+00     1.11E+00     1.13E+00     1.15E+00     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  6.14E-02     2.36E-01     4.30E-01     5.86E-01     7.02E-01     7.86E-01     8.47E-01     8.94E-01     9.30E-01     9.59E-01     9.84E-01     1.00E+00     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.58E-02     4.63E-02     6.81E-02     8.85E-02     1.07E-01     1.22E-01     1.36E-01     1.48E-01     1.59E-01     1.68E-01     
