[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     6.61E-02     1.69E-01     2.86E-01     3.88E-01     4.63E-01     4.89E-01     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.93E-02     1.36E-01     2.40E-01     3.35E-01     4.05E-01     4.30E-01     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.11E-02     1.21E-01     2.22E-01     3.15E-01     3.84E-01     4.07E-01     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.13E-02     6.85E-02     1.36E-01     2.06E-01     2.63E-01     2.83E-01     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.61E-02     8.23E-02     1.59E-01     2.34E-01     2.92E-01     3.12E-01     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.27E-02     4.32E-02     8.82E-02     1.35E-01     1.73E-01     1.87E-01     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.71E-02     2.80E-02     3.76E-02     4.12E-02     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.06E-02     4.22E-02     6.66E-02     8.78E-02     9.57E-02     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.26E-02     2.62E-02     4.10E-02     5.36E-02     5.83E-02     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.12E-02     4.38E-02     6.82E-02     8.88E-02     9.68E-02     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.22E-02     2.54E-02     3.95E-02     5.07E-02     5.33E-02     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.49E-02     5.19E-02     8.13E-02     1.06E-01     1.15E-01     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.59E-02     3.40E-02     5.34E-02     6.96E-02     7.59E-02     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.47E-02     5.04E-02     1.04E-01     1.59E-01     2.04E-01     2.20E-01     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.78E-02     5.95E-02     9.45E-02     1.23E-01     1.34E-01     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.90E-02     6.48E-02     1.31E-01     1.99E-01     2.52E-01     2.71E-01     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.51E-02     5.35E-02     1.11E-01     1.72E-01     2.20E-01     2.37E-01     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.85E-02     6.54E-02     1.35E-01     2.07E-01     2.64E-01     2.83E-01     
Re           75           -2.05E-02    -2.11E-02    -2.12E-02    -2.10E-02    -1.72E-02    0.00000E+00  1.92E-02     4.95E-02     7.71E-02     8.85E-02     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.45E-02     2.95E-02     4.71E-02     6.27E-02     6.83E-02     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.58E-02     2.54E-02     3.37E-02     3.68E-02     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.39E-02     2.32E-02     3.12E-02     3.43E-02     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.54E-02     5.53E-02     1.16E-01     1.80E-01     2.31E-01     2.49E-01     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.93E-02     7.02E-02     1.44E-01     2.19E-01     2.76E-01     2.96E-01     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.15E-02     7.55E-02     1.28E-01     1.72E-01     1.89E-01     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.03E-02     1.20E-02     
