[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.19E-02     6.94E-02     1.12E-01     1.54E-01     1.90E-01     2.07E-01     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.24E-02     7.71E-02     1.36E-01     1.99E-01     2.55E-01     2.83E-01     
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  3.30E-02     1.51E-01     3.10E-01     4.59E-01     5.81E-01     6.71E-01     7.11E-01     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  2.58E-02     1.32E-01     2.86E-01     4.35E-01     5.58E-01     6.50E-01     6.91E-01     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  2.01E-02     1.21E-01     2.78E-01     4.33E-01     5.60E-01     6.55E-01     6.97E-01     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     6.78E-02     1.76E-01     3.02E-01     4.18E-01     5.11E-01     5.53E-01     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  1.22E-02     8.44E-02     2.10E-01     3.46E-01     4.62E-01     5.51E-01     5.90E-01     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.42E-02     1.22E-01     2.14E-01     3.01E-01     3.72E-01     4.05E-01     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.52E-02     4.96E-02     7.62E-02     1.01E-01     1.14E-01     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.19E-02     6.04E-02     1.13E-01     1.69E-01     2.21E-01     2.46E-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.30E-02     3.75E-02     6.95E-02     1.04E-01     1.37E-01     1.54E-01     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.09E-02     5.93E-02     1.09E-01     1.59E-01     2.04E-01     2.27E-01     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.39E-02     3.94E-02     7.14E-02     1.03E-01     1.30E-01     1.38E-01     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.58E-02     7.40E-02     1.35E-01     1.96E-01     2.47E-01     2.71E-01     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.61E-02     4.87E-02     8.97E-02     1.30E-01     1.65E-01     1.83E-01     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.05E-02     1.42E-01     2.51E-01     3.50E-01     4.28E-01     4.63E-01     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.76E-02     8.35E-02     1.56E-01     2.25E-01     2.81E-01     3.08E-01     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  6.50E-02     1.79E-01     3.09E-01     4.24E-01     5.12E-01     5.51E-01     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.28E-02     1.52E-01     2.70E-01     3.75E-01     4.57E-01     4.94E-01     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  6.40E-02     1.84E-01     3.21E-01     4.41E-01     5.29E-01     5.68E-01     
Re           75           -1.82E-02    -1.95E-02    -1.95E-02    -1.83E-02    0.00000E+00  3.63E-02     1.02E-01     1.73E-01     2.34E-01     2.64E-01     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.46E-02     4.21E-02     8.20E-02     1.27E-01     1.67E-01     1.87E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.18E-02     1.93E-02     2.69E-02     3.09E-02     
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.29E-02     4.47E-02     6.88E-02     9.17E-02     1.03E-01     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.99E-02     4.09E-02     6.36E-02     8.40E-02     9.42E-02     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.22E-02     1.57E-01     2.83E-01     3.96E-01     4.83E-01     5.22E-01     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  6.20E-02     1.84E-01     3.22E-01     4.42E-01     5.32E-01     5.73E-01     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.99E-02     1.14E-01     2.30E-01     3.42E-01     4.29E-01     4.68E-01     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.99E-02     3.88E-02     6.00E-02     7.15E-02     
