[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        
Nd           60           0.00000E+00  0.00000E+00  8.17E-01     1.23E+00     1.48E+00     1.64E+00     1.76E+00     1.82E+00     1.82E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  6.16E-01     9.94E-01     1.23E+00     1.39E+00     1.50E+00     1.56E+00     1.56E+00     
Eu           63           0.00000E+00  0.00000E+00  1.95E-01     4.16E-01     5.94E-01     7.29E-01     8.28E-01     8.82E-01     8.83E-01     
Gd           64           0.00000E+00  0.00000E+00  3.82E-01     7.05E-01     9.28E-01     1.09E+00     1.21E+00     1.27E+00     1.27E+00     
Tb           65           0.00000E+00  0.00000E+00  2.57E-01     5.30E-01     7.20E-01     8.59E-01     9.62E-01     1.02E+00     1.02E+00     
Dy           66           0.00000E+00  0.00000E+00  4.03E-01     7.35E-01     9.48E-01     1.10E+00     1.20E+00     1.26E+00     1.26E+00     
Ho           67           0.00000E+00  0.00000E+00  2.50E-01     5.08E-01     6.98E-01     8.34E-01     9.31E-01     9.82E-01     9.82E-01     
Er           68           0.00000E+00  0.00000E+00  4.44E-01     7.88E-01     1.01E+00     1.17E+00     1.28E+00     1.34E+00     1.34E+00     
Tm           69           0.00000E+00  0.00000E+00  4.06E-01     7.44E-01     9.58E-01     1.10E+00     1.20E+00     1.26E+00     1.26E+00     
Yb           70           0.00000E+00  0.00000E+00  7.12E-01     1.11E+00     1.35E+00     1.52E+00     1.63E+00     1.69E+00     1.69E+00     
Lu           71           0.00000E+00  0.00000E+00  5.29E-01     8.89E-01     1.12E+00     1.27E+00     1.38E+00     1.44E+00     1.44E+00     
Hf           72           0.00000E+00  0.00000E+00  8.44E-01     1.25E+00     1.49E+00     1.66E+00     1.77E+00     1.84E+00     1.84E+00     
Ta           73           0.00000E+00  0.00000E+00  7.67E-01     1.17E+00     1.41E+00     1.58E+00     1.69E+00     1.75E+00     1.75E+00     
W            74           0.00000E+00  0.00000E+00  8.69E-01     1.29E+00     1.54E+00     1.70E+00     1.82E+00     1.88E+00     1.89E+00     
Re           75           -8.86E-02    -9.10E-02    4.08E-01     7.78E-01     1.03E+00     1.20E+00     1.33E+00     1.39E+00     1.39E+00     
Os           76           0.00000E+00  0.00000E+00  3.08E-01     5.86E-01     7.86E-01     9.31E-01     1.04E+00     1.10E+00     1.10E+00     
Ir           77           0.00000E+00  0.00000E+00  6.71E-02     1.72E-01     2.74E-01     3.64E-01     4.39E-01     4.82E-01     4.82E-01     
Pt           78           0.00000E+00  0.00000E+00  2.35E-01     4.79E-01     6.61E-01     7.95E-01     8.97E-01     9.52E-01     9.52E-01     
Au           79           0.00000E+00  0.00000E+00  2.19E-01     4.54E-01     6.35E-01     7.69E-01     8.69E-01     9.22E-01     9.22E-01     
Hg           80           0.00000E+00  0.00000E+00  8.46E-01     1.25E+00     1.49E+00     1.65E+00     1.77E+00     1.83E+00     1.83E+00     
Tl           81           0.00000E+00  0.00000E+00  1.01E+00     1.43E+00     1.67E+00     1.83E+00     1.95E+00     2.01E+00     2.01E+00     
Pb           82           0.00000E+00  0.00000E+00  9.69E-01     1.39E+00     1.64E+00     1.81E+00     1.96E+00     2.05E+00     2.05E+00     
Bi           83           0.00000E+00  0.00000E+00  2.20E-01     4.94E-01     7.30E-01     9.11E-01     1.08E+00     1.21E+00     1.21E+00     
