[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  1.88E-02     2.94E-02     3.85E-02     4.49E-02     4.67E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  0.00000E+00  2.00E-02     3.10E-02     4.02E-02     4.60E-02     4.63E-02     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.23E-02     1.52E-02     1.54E-02     
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  2.17E-02     4.20E-02     6.32E-02     7.72E-02     7.79E-02     
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  2.02E-02     3.97E-02     6.05E-02     7.46E-02     7.52E-02     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  1.30E-02     2.60E-02     4.01E-02     4.98E-02     5.02E-02     
Se           34           0.00000E+00  0.00000E+00  0.00000E+00  3.04E-02     5.78E-02     8.61E-02     1.05E-01     1.05E-01     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  1.65E-02     3.48E-02     5.46E-02     6.97E-02     7.56E-02     
Kr           36           0.00000E+00  0.00000E+00  1.35E-02     4.72E-02     9.02E-02     1.34E-01     1.62E-01     1.63E-01     
Rb           37           0.00000E+00  0.00000E+00  3.35E-02     7.96E-02     1.25E-01     1.65E-01     1.92E-01     1.93E-01     
Sr           38           0.00000E+00  0.00000E+00  1.04E-01     3.41E-01     5.50E-01     7.05E-01     7.89E-01     7.92E-01     
Y            39           0.00000E+00  0.00000E+00  1.33E-01     3.76E-01     5.79E-01     7.28E-01     8.10E-01     8.13E-01     
Zr           40           0.00000E+00  0.00000E+00  1.57E-01     4.25E-01     6.40E-01     7.92E-01     8.73E-01     8.75E-01     
Nb           41           0.00000E+00  0.00000E+00  1.02E-02     4.53E-02     1.11E-01     1.88E-01     2.59E-01     3.16E-01     
Mo           42           0.00000E+00  0.00000E+00  8.72E-02     3.05E-01     5.03E-01     6.49E-01     7.29E-01     7.32E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  5.01E-02     2.17E-01     3.96E-01     5.36E-01     6.17E-01     6.24E-01     
Rh           45           0.00000E+00  0.00000E+00  2.34E-02     1.13E-01     2.25E-01     3.24E-01     3.84E-01     3.86E-01     
Pd           46           0.00000E+00  0.00000E+00  8.44E-02     3.11E-01     5.25E-01     6.81E-01     7.66E-01     7.68E-01     
Ag           47           0.00000E+00  0.00000E+00  2.50E-02     1.10E-01     2.14E-01     3.07E-01     3.64E-01     3.67E-01     
Cd           48           0.00000E+00  0.00000E+00  1.32E-01     3.99E-01     6.26E-01     7.86E-01     8.73E-01     8.76E-01     
In           49           0.00000E+00  0.00000E+00  8.63E-02     2.90E-01     4.84E-01     6.28E-01     7.08E-01     7.11E-01     
Sn           50           0.00000E+00  0.00000E+00  1.77E-01     4.79E-01     7.14E-01     8.74E-01     9.60E-01     9.63E-01     
Sb           51           0.00000E+00  0.00000E+00  9.51E-02     2.66E-01     4.26E-01     5.49E-01     6.20E-01     6.22E-01     
Te           52           0.00000E+00  0.00000E+00  5.94E-02     2.16E-01     3.76E-01     5.00E-01     5.69E-01     5.72E-01     
I            53           0.00000E+00  0.00000E+00  1.62E-02     7.06E-02     1.42E-01     2.09E-01     2.51E-01     2.52E-01     
Xe           54           0.00000E+00  0.00000E+00  6.86E-02     2.34E-01     4.00E-01     5.28E-01     6.00E-01     6.03E-01     
Cs           55           0.00000E+00  0.00000E+00  1.35E-01     3.23E-01     4.84E-01     6.10E-01     6.85E-01     6.85E-01     
Ba           56           0.00000E+00  0.00000E+00  3.35E-01     8.09E-01     1.11E+00     1.30E+00     1.40E+00     1.40E+00     
La           57           0.00000E+00  0.00000E+00  3.35E-01     8.24E-01     1.13E+00     1.32E+00     1.42E+00     1.42E+00     
Ce           58           0.00000E+00  0.00000E+00  3.42E-01     8.57E-01     1.18E+00     1.37E+00     1.47E+00     1.47E+00     
Pr           59           0.00000E+00  0.00000E+00  2.52E-01     6.54E-01     9.39E-01     1.12E+00     1.22E+00     1.22E+00     
Nd           60           0.00000E+00  0.00000E+00  2.54E-01     7.28E-01     1.04E+00     1.23E+00     1.33E+00     1.33E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  1.69E-01     5.44E-01     8.20E-01     9.98E-01     1.09E+00     1.09E+00     
Eu           63           0.00000E+00  0.00000E+00  3.63E-02     1.60E-01     2.98E-01     4.11E-01     4.76E-01     4.78E-01     
Gd           64           0.00000E+00  0.00000E+00  1.04E-01     3.51E-01     5.77E-01     7.29E-01     8.07E-01     8.09E-01     
Tb           65           0.00000E+00  0.00000E+00  5.65E-02     2.37E-01     4.20E-01     5.56E-01     6.27E-01     6.29E-01     
Dy           66           0.00000E+00  0.00000E+00  9.76E-02     3.73E-01     6.07E-01     7.65E-01     8.44E-01     8.47E-01     
Ho           67           0.00000E+00  0.00000E+00  4.51E-02     2.09E-01     3.83E-01     5.12E-01     5.81E-01     5.83E-01     
Er           68           0.00000E+00  0.00000E+00  9.37E-02     3.73E-01     6.22E-01     7.89E-01     8.73E-01     8.76E-01     
Tm           69           0.00000E+00  0.00000E+00  6.46E-02     3.22E-01     5.67E-01     7.38E-01     8.25E-01     8.28E-01     
Yb           70           0.00000E+00  0.00000E+00  1.82E-01     6.02E-01     9.01E-01     1.09E+00     1.18E+00     1.19E+00     
Lu           71           0.00000E+00  0.00000E+00  9.10E-02     4.09E-01     6.79E-01     8.58E-01     9.49E-01     9.52E-01     
Hf           72           0.00000E+00  0.00000E+00  2.51E-01     7.12E-01     1.02E+00     1.22E+00     1.31E+00     1.31E+00     
Ta           73           0.00000E+00  0.00000E+00  1.84E-01     6.21E-01     9.31E-01     1.13E+00     1.22E+00     1.23E+00     
W            74           0.00000E+00  0.00000E+00  2.49E-01     7.38E-01     1.05E+00     1.25E+00     1.34E+00     1.35E+00     
Re           75           -9.53E-02    -9.68E-02    0.00000E+00  2.81E-01     5.26E-01     7.00E-01     7.94E-01     7.97E-01     
Os           76           0.00000E+00  0.00000E+00  5.28E-02     2.32E-01     4.23E-01     5.63E-01     6.36E-01     6.39E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  4.64E-02     1.03E-01     1.57E-01     1.91E-01     1.92E-01     
Pt           78           0.00000E+00  0.00000E+00  3.19E-02     1.72E-01     3.32E-01     4.56E-01     5.23E-01     5.25E-01     
Au           79           0.00000E+00  0.00000E+00  2.19E-02     1.41E-01     2.88E-01     4.08E-01     4.75E-01     4.77E-01     
Hg           80           0.00000E+00  0.00000E+00  1.71E-01     6.46E-01     9.71E-01     1.17E+00     1.26E+00     1.27E+00     
Tl           81           0.00000E+00  0.00000E+00  2.18E-01     7.78E-01     1.13E+00     1.33E+00     1.43E+00     1.43E+00     
Pb           82           0.00000E+00  0.00000E+00  8.50E-02     5.13E-01     8.52E-01     1.06E+00     1.16E+00     1.17E+00     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  3.92E-02     1.16E-01     2.03E-01     2.60E-01     2.62E-01     
