[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       TDU_14       
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     1.18E-02     1.32E-02     1.48E-02     1.63E-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.10E-02     1.43E-02     1.77E-02     2.13E-02     2.50E-02     2.89E-02     3.32E-02     3.78E-02     4.28E-02     4.78E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.14E-02     1.52E-02     1.86E-02     2.20E-02     2.44E-02     2.89E-02     3.28E-02     3.71E-02     4.18E-02     4.70E-02     5.16E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.63E-02     2.27E-02     2.87E-02     3.46E-02     4.01E-02     4.57E-02     5.13E-02     5.69E-02     6.28E-02     6.90E-02     7.47E-02     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.21E-02     1.69E-02     2.17E-02     2.64E-02     3.10E-02     3.55E-02     4.00E-02     4.45E-02     4.90E-02     5.29E-02     
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  2.00E-02     4.14E-02     6.58E-02     9.06E-02     1.15E-01     1.37E-01     1.58E-01     1.78E-01     1.96E-01     2.14E-01     2.31E-01     2.45E-01     
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  1.98E-02     4.07E-02     6.47E-02     8.93E-02     1.14E-01     1.36E-01     1.57E-01     1.77E-01     1.96E-01     2.14E-01     2.32E-01     2.47E-01     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  1.34E-02     2.78E-02     4.46E-02     6.20E-02     7.94E-02     9.57E-02     1.11E-01     1.26E-01     1.41E-01     1.55E-01     1.68E-01     1.80E-01     
Se           34           0.00000E+00  0.00000E+00  0.00000E+00  2.98E-02     5.93E-02     9.16E-02     1.24E-01     1.54E-01     1.82E-01     2.07E-01     2.31E-01     2.54E-01     2.75E-01     2.96E-01     3.13E-01     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  1.67E-02     3.76E-02     6.18E-02     8.69E-02     1.12E-01     1.32E-01     1.58E-01     1.79E-01     1.99E-01     2.18E-01     2.36E-01     2.50E-01     
Kr           36           0.00000E+00  0.00000E+00  0.00000E+00  3.69E-02     7.59E-02     1.19E-01     1.61E-01     2.00E-01     2.35E-01     2.66E-01     2.95E-01     3.22E-01     3.48E-01     3.73E-01     3.93E-01     
Rb           37           0.00000E+00  0.00000E+00  2.42E-02     6.05E-02     9.96E-02     1.37E-01     1.71E-01     2.02E-01     2.30E-01     2.57E-01     2.82E-01     3.08E-01     3.33E-01     3.58E-01     3.80E-01     
Sr           38           0.00000E+00  0.00000E+00  4.03E-02     1.93E-01     3.79E-01     5.37E-01     6.59E-01     7.55E-01     8.28E-01     8.87E-01     9.37E-01     9.80E-01     1.02E+00     1.05E+00     1.08E+00     
Y            39           0.00000E+00  0.00000E+00  3.91E-02     1.77E-01     3.45E-01     4.90E-01     6.04E-01     6.93E-01     7.62E-01     8.18E-01     8.66E-01     9.08E-01     9.46E-01     9.80E-01     1.01E+00     
Zr           40           0.00000E+00  0.00000E+00  2.52E-02     1.46E-01     3.07E-01     4.50E-01     5.61E-01     6.46E-01     7.11E-01     7.61E-01     8.04E-01     8.42E-01     8.75E-01     9.06E-01     9.31E-01     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.87E-02     6.37E-02     1.07E-01     1.55E-01     1.83E-01     2.46E-01     2.88E-01     3.27E-01     3.62E-01     3.93E-01     4.13E-01     
Mo           42           0.00000E+00  0.00000E+00  0.00000E+00  7.34E-02     1.81E-01     2.89E-01     3.79E-01     4.50E-01     5.05E-01     5.48E-01     5.84E-01     6.16E-01     6.44E-01     6.69E-01     6.90E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  0.00000E+00  4.92E-02     1.32E-01     2.20E-01     2.97E-01     3.60E-01     4.07E-01     4.49E-01     4.82E-01     5.11E-01     5.37E-01     5.60E-01     5.79E-01     
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  2.38E-02     6.60E-02     1.14E-01     1.59E-01     1.98E-01     2.29E-01     2.55E-01     2.77E-01     2.97E-01     3.15E-01     3.32E-01     3.45E-01     
Pd           46           0.00000E+00  0.00000E+00  0.00000E+00  7.35E-02     1.86E-01     2.97E-01     3.89E-01     4.61E-01     5.15E-01     5.57E-01     5.92E-01     6.23E-01     6.50E-01     6.75E-01     6.95E-01     
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  2.08E-02     5.78E-02     1.01E-01     1.41E-01     1.75E-01     2.03E-01     2.27E-01     2.47E-01     2.66E-01     2.82E-01     2.98E-01     3.10E-01     
Cd           48           0.00000E+00  0.00000E+00  0.00000E+00  8.62E-02     2.12E-01     3.33E-01     4.31E-01     5.06E-01     5.63E-01     6.07E-01     6.44E-01     6.76E-01     7.04E-01     7.30E-01     7.50E-01     
In           49           0.00000E+00  0.00000E+00  0.00000E+00  5.47E-02     1.42E-01     2.32E-01     3.08E-01     3.70E-01     4.17E-01     4.54E-01     4.86E-01     5.13E-01     5.38E-01     5.61E-01     5.79E-01     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  8.02E-02     2.03E-01     3.21E-01     4.16E-01     4.89E-01     5.44E-01     5.86E-01     6.20E-01     6.50E-01     6.76E-01     7.00E-01     7.19E-01     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  2.91E-02     7.89E-02     1.34E-01     1.84E-01     2.26E-01     2.59E-01     2.86E-01     3.09E-01     3.29E-01     3.48E-01     3.65E-01     3.79E-01     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  2.17E-02     6.41E-02     1.13E-01     1.58E-01     1.95E-01     2.25E-01     2.48E-01     2.67E-01     2.84E-01     2.99E-01     3.13E-01     3.24E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.76E-02     3.28E-02     4.77E-02     6.09E-02     7.16E-02     8.04E-02     8.78E-02     9.43E-02     1.00E-01     1.06E-01     1.10E-01     
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  1.95E-02     5.83E-02     1.04E-01     1.46E-01     1.82E-01     2.10E-01     2.32E-01     2.51E-01     2.67E-01     2.82E-01     2.95E-01     3.06E-01     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  2.86E-02     6.86E-02     1.13E-01     1.55E-01     1.92E-01     2.22E-01     2.47E-01     2.69E-01     2.89E-01     3.07E-01     3.24E-01     3.38E-01     
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  5.81E-02     1.72E-01     2.92E-01     3.91E-01     4.67E-01     5.23E-01     5.66E-01     5.99E-01     6.27E-01     6.51E-01     6.72E-01     6.88E-01     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  4.10E-02     1.33E-01     2.38E-01     3.29E-01     4.02E-01     4.56E-01     4.98E-01     5.30E-01     5.57E-01     5.80E-01     6.00E-01     6.15E-01     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  2.93E-02     1.05E-01     2.00E-01     2.88E-01     3.61E-01     4.15E-01     4.57E-01     4.90E-01     5.17E-01     5.39E-01     5.59E-01     5.74E-01     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  1.53E-02     5.49E-02     1.10E-01     1.67E-01     2.18E-01     2.59E-01     2.92E-01     3.19E-01     3.41E-01     3.61E-01     3.78E-01     3.91E-01     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  1.63E-02     6.42E-02     1.31E-01     1.98E-01     2.56E-01     3.02E-01     3.37E-01     3.66E-01     3.89E-01     4.09E-01     4.26E-01     4.39E-01     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.07E-02     6.67E-02     1.07E-01     1.44E-01     1.75E-01     1.99E-01     2.19E-01     2.36E-01     2.50E-01     2.62E-01     2.71E-01     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.71E-02     2.44E-02     3.07E-02     3.60E-02     4.02E-02     4.37E-02     4.66E-02     4.89E-02     5.05E-02     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.57E-02     3.52E-02     5.69E-02     7.73E-02     9.42E-02     1.08E-01     1.19E-01     1.29E-01     1.37E-01     1.44E-01     1.49E-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.90E-02     3.21E-02     4.48E-02     5.55E-02     6.43E-02     7.15E-02     7.74E-02     8.23E-02     8.65E-02     8.96E-02     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.66E-02     3.74E-02     6.09E-02     8.32E-02     1.00E-01     1.17E-01     1.29E-01     1.39E-01     1.48E-01     1.55E-01     1.61E-01     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.61E-02     2.72E-02     3.81E-02     5.33E-02     5.49E-02     6.11E-02     6.62E-02     7.05E-02     7.42E-02     7.73E-02     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.68E-02     3.86E-02     6.38E-02     8.81E-02     1.08E-01     1.25E-01     1.39E-01     1.50E-01     1.60E-01     1.68E-01     1.75E-01     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.35E-02     3.20E-02     5.42E-02     7.65E-02     9.55E-02     1.11E-01     1.24E-01     1.35E-01     1.44E-01     1.52E-01     1.58E-01     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.67E-02     8.04E-02     1.28E-01     1.72E-01     2.08E-01     2.37E-01     2.60E-01     2.80E-01     2.96E-01     3.11E-01     3.22E-01     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.87E-02     4.36E-02     7.25E-02     1.01E-01     1.24E-01     1.44E-01     1.60E-01     1.73E-01     1.84E-01     1.94E-01     2.02E-01     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  1.15E-02     4.78E-02     1.03E-01     1.63E-01     2.17E-01     2.59E-01     2.93E-01     3.20E-01     3.42E-01     3.60E-01     3.76E-01     3.89E-01     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.62E-02     8.08E-02     1.31E-01     1.78E-01     2.16E-01     2.47E-01     2.72E-01     2.92E-01     3.10E-01     3.25E-01     3.36E-01     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  1.20E-02     4.94E-02     1.07E-01     1.68E-01     2.24E-01     2.68E-01     3.03E-01     3.31E-01     3.54E-01     3.73E-01     3.90E-01     4.02E-01     
Re           75           -3.35E-02    -3.46E-02    -3.46E-02    -3.18E-02    -2.28E-02    0.00000E+00  1.29E-02     3.33E-02     5.13E-02     6.69E-02     8.02E-02     9.15E-02     1.01E-01     1.10E-01     1.17E-01     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.97E-02     3.20E-02     4.40E-02     5.41E-02     6.23E-02     6.89E-02     7.43E-02     7.87E-02     8.24E-02     8.50E-02     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.27E-02     2.19E-02     3.11E-02     3.90E-02     4.57E-02     5.11E-02     5.56E-02     5.95E-02     6.28E-02     6.53E-02     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.67E-02     2.45E-02     3.13E-02     3.73E-02     4.22E-02     4.65E-02     5.02E-02     5.35E-02     5.60E-02     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.86E-02     8.69E-02     1.40E-01     1.90E-01     2.29E-01     2.61E-01     2.86E-01     3.07E-01     3.25E-01     3.41E-01     3.54E-01     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  1.17E-02     5.35E-02     1.20E-01     1.92E-01     2.55E-01     3.03E-01     3.40E-01     3.69E-01     3.91E-01     4.10E-01     4.26E-01     4.37E-01     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.86E-02     4.87E-02     8.54E-02     1.21E-01     1.50E-01     1.73E-01     1.92E-01     2.06E-01     2.18E-01     2.28E-01     2.35E-01     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.06E-02     1.16E-02     1.24E-02     1.32E-02     
