[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        
Cu           29           0.00000E+00  3.95E-02     9.82E-02     1.50E-01     1.91E-01     2.24E-01     2.50E-01     2.66E-01     
Zn           30           0.00000E+00  0.00000E+00  3.90E-02     7.19E-02     1.01E-01     1.25E-01     1.45E-01     1.56E-01     
Ga           31           0.00000E+00  5.25E-02     1.69E-01     2.78E-01     3.59E-01     4.19E-01     4.63E-01     4.86E-01     
Ge           32           0.00000E+00  6.04E-02     1.83E-01     2.98E-01     3.86E-01     4.53E-01     5.02E-01     5.28E-01     
As           33           0.00000E+00  5.59E-02     1.67E-01     2.73E-01     3.56E-01     4.20E-01     4.68E-01     4.93E-01     
Se           34           0.00000E+00  8.63E-02     2.34E-01     3.59E-01     4.53E-01     5.23E-01     5.74E-01     6.01E-01     
Br           35           0.00000E+00  5.49E-02     1.54E-01     2.55E-01     3.40E-01     4.09E-01     4.63E-01     4.98E-01     
Kr           36           0.00000E+00  1.28E-01     3.09E-01     4.51E-01     5.50E-01     6.22E-01     6.73E-01     7.00E-01     
Rb           37           0.00000E+00  2.96E-01     4.99E-01     6.19E-01     7.03E-01     7.68E-01     8.20E-01     8.50E-01     
Sr           38           0.00000E+00  2.83E-01     7.42E-01     1.03E+00     1.20E+00     1.32E+00     1.39E+00     1.43E+00     
Y            39           0.00000E+00  3.60E-01     7.71E-01     1.03E+00     1.20E+00     1.31E+00     1.39E+00     1.43E+00     
Zr           40           0.00000E+00  4.38E-01     8.29E-01     1.07E+00     1.23E+00     1.33E+00     1.41E+00     1.44E+00     
Nb           41           0.00000E+00  4.83E-02     1.53E-01     2.98E-01     4.40E-01     5.63E-01     6.67E-01     7.51E-01     
Mo           42           0.00000E+00  2.98E-01     6.68E-01     9.05E-01     1.06E+00     1.16E+00     1.23E+00     1.27E+00     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  1.93E-01     5.54E-01     8.00E-01     9.57E-01     1.06E+00     1.14E+00     1.17E+00     
Rh           45           0.00000E+00  8.77E-02     3.19E-01     5.14E-01     6.49E-01     7.44E-01     8.09E-01     8.41E-01     
Pd           46           0.00000E+00  2.11E-01     6.20E-01     8.89E-01     1.06E+00     1.17E+00     1.24E+00     1.28E+00     
Ag           47           0.00000E+00  6.76E-02     2.84E-01     4.78E-01     6.17E-01     7.15E-01     7.83E-01     8.17E-01     
Cd           48           0.00000E+00  2.32E-01     6.76E-01     9.60E-01     1.14E+00     1.26E+00     1.34E+00     1.37E+00     
In           49           0.00000E+00  1.42E-01     5.15E-01     7.82E-01     9.54E-01     1.07E+00     1.15E+00     1.19E+00     
Sn           50           0.00000E+00  3.46E-01     7.67E-01     1.04E+00     1.21E+00     1.32E+00     1.40E+00     1.44E+00     
Sb           51           0.00000E+00  2.28E-01     5.02E-01     7.11E-01     8.58E-01     9.65E-01     1.04E+00     1.08E+00     
Te           52           0.00000E+00  1.55E-01     4.24E-01     6.33E-01     7.75E-01     8.73E-01     9.41E-01     9.74E-01     
I            53           0.00000E+00  4.90E-02     1.72E-01     2.98E-01     3.98E-01     4.74E-01     5.29E-01     5.57E-01     
Xe           54           0.00000E+00  1.83E-01     4.64E-01     6.76E-01     8.19E-01     9.20E-01     9.90E-01     1.02E+00     
Cs           55           0.00000E+00  2.68E-01     5.91E-01     8.01E-01     9.56E-01     1.07E+00     1.15E+00     1.19E+00     
Ba           56           0.00000E+00  6.45E-01     1.17E+00     1.46E+00     1.64E+00     1.76E+00     1.84E+00     1.88E+00     
La           57           0.00000E+00  6.57E-01     1.17E+00     1.47E+00     1.64E+00     1.76E+00     1.85E+00     1.89E+00     
Ce           58           0.00000E+00  7.40E-01     1.26E+00     1.56E+00     1.74E+00     1.86E+00     1.95E+00     1.99E+00     
Pr           59           0.00000E+00  5.68E-01     1.04E+00     1.32E+00     1.51E+00     1.64E+00     1.73E+00     1.77E+00     
Nd           60           0.00000E+00  6.40E-01     1.16E+00     1.45E+00     1.63E+00     1.75E+00     1.83E+00     1.87E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  5.49E-01     9.93E-01     1.25E+00     1.42E+00     1.53E+00     1.60E+00     1.64E+00     
Eu           63           0.00000E+00  1.76E-01     4.32E-01     6.26E-01     7.64E-01     8.63E-01     9.32E-01     9.68E-01     
Gd           64           0.00000E+00  3.89E-01     7.29E-01     9.58E-01     1.11E+00     1.21E+00     1.29E+00     1.33E+00     
Tb           65           0.00000E+00  2.54E-01     5.48E-01     7.67E-01     9.07E-01     1.00E+00     1.07E+00     1.11E+00     
Dy           66           0.00000E+00  3.93E-01     7.66E-01     1.00E+00     1.16E+00     1.26E+00     1.33E+00     1.36E+00     
Ho           67           0.00000E+00  2.29E-01     5.26E-01     7.35E-01     8.78E-01     9.76E-01     1.04E+00     1.08E+00     
Er           68           0.00000E+00  4.14E-01     8.00E-01     1.05E+00     1.21E+00     1.31E+00     1.39E+00     1.43E+00     
Tm           69           0.00000E+00  2.64E-01     6.24E-01     8.75E-01     1.03E+00     1.14E+00     1.20E+00     1.24E+00     
Yb           70           0.00000E+00  6.75E-01     1.13E+00     1.39E+00     1.56E+00     1.67E+00     1.75E+00     1.78E+00     
Lu           71           0.00000E+00  4.37E-01     8.75E-01     1.14E+00     1.31E+00     1.42E+00     1.49E+00     1.53E+00     
Hf           72           0.00000E+00  8.04E-01     1.27E+00     1.53E+00     1.70E+00     1.81E+00     1.89E+00     1.92E+00     
Ta           73           0.00000E+00  6.80E-01     1.17E+00     1.45E+00     1.62E+00     1.73E+00     1.81E+00     1.85E+00     
W            74           0.00000E+00  7.81E-01     1.28E+00     1.56E+00     1.73E+00     1.85E+00     1.92E+00     1.96E+00     
Re           75           -9.02E-02    3.50E-01     7.67E-01     1.02E+00     1.20E+00     1.33E+00     1.41E+00     1.46E+00     
Os           76           0.00000E+00  3.23E-01     6.74E-01     9.03E-01     1.05E+00     1.16E+00     1.24E+00     1.27E+00     
Ir           77           0.00000E+00  5.90E-02     1.74E-01     2.90E-01     3.83E-01     4.57E-01     5.12E-01     5.41E-01     
Pt           78           0.00000E+00  2.01E-01     4.72E-01     6.78E-01     8.17E-01     9.13E-01     9.80E-01     1.01E+00     
Au           79           0.00000E+00  1.52E-01     4.28E-01     6.35E-01     7.79E-01     8.80E-01     9.50E-01     9.84E-01     
Hg           80           0.00000E+00  6.59E-01     1.21E+00     1.51E+00     1.69E+00     1.81E+00     1.89E+00     1.93E+00     
Tl           81           0.00000E+00  7.47E-01     1.34E+00     1.65E+00     1.84E+00     1.97E+00     2.05E+00     2.09E+00     
Pb           82           0.00000E+00  1.06E+00     1.77E+00     2.13E+00     2.34E+00     2.48E+00     2.57E+00     2.61E+00     
Bi           83           0.00000E+00  4.13E-01     9.10E-01     1.23E+00     1.44E+00     1.58E+00     1.69E+00     1.74E+00     
