[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        
Ru           44           0.00000E+00  0.00000E+00  1.44E-01     3.17E-01     4.88E-01     5.87E-01     6.62E-01     7.04E-01     7.09E-01     
Rh           45           0.00000E+00  0.00000E+00  7.38E-02     1.76E-01     2.93E-01     3.64E-01     4.21E-01     4.53E-01     4.53E-01     
Pd           46           0.00000E+00  0.00000E+00  2.10E-01     4.25E-01     6.20E-01     7.25E-01     8.06E-01     8.49E-01     8.50E-01     
Ag           47           0.00000E+00  0.00000E+00  6.73E-02     1.60E-01     2.66E-01     3.33E-01     3.87E-01     4.18E-01     4.20E-01     
Cd           48           0.00000E+00  0.00000E+00  2.56E-01     4.95E-01     7.04E-01     8.17E-01     9.05E-01     9.53E-01     9.54E-01     
In           49           0.00000E+00  0.00000E+00  1.77E-01     3.68E-01     5.51E-01     6.54E-01     7.37E-01     7.82E-01     7.83E-01     
Sn           50           0.00000E+00  0.00000E+00  2.80E-01     5.22E-01     7.31E-01     8.43E-01     9.37E-01     9.90E-01     9.91E-01     
Sb           51           0.00000E+00  0.00000E+00  1.24E-01     2.70E-01     4.25E-01     5.19E-01     6.06E-01     6.58E-01     6.59E-01     
Te           52           0.00000E+00  0.00000E+00  1.08E-01     2.30E-01     3.58E-01     4.31E-01     5.00E-01     5.41E-01     5.42E-01     
I            53           0.00000E+00  0.00000E+00  3.44E-02     8.14E-02     1.41E-01     1.79E-01     2.19E-01     2.44E-01     2.44E-01     
Xe           54           0.00000E+00  0.00000E+00  1.14E-01     2.41E-01     3.73E-01     4.50E-01     5.27E-01     5.73E-01     5.74E-01     
Cs           55           0.00000E+00  0.00000E+00  1.56E-01     3.11E-01     4.78E-01     5.76E-01     6.77E-01     7.37E-01     7.36E-01     
Ba           56           0.00000E+00  0.00000E+00  4.72E-01     7.44E-01     9.48E-01     1.05E+00     1.18E+00     1.27E+00     1.27E+00     
La           57           0.00000E+00  0.00000E+00  4.62E-01     7.23E-01     9.18E-01     1.02E+00     1.16E+00     1.25E+00     1.25E+00     
Ce           58           0.00000E+00  0.00000E+00  4.54E-01     7.14E-01     9.02E-01     1.00E+00     1.15E+00     1.27E+00     1.27E+00     
Pr           59           0.00000E+00  0.00000E+00  3.16E-01     5.38E-01     7.14E-01     8.16E-01     9.70E-01     1.09E+00     1.09E+00     
Nd           60           0.00000E+00  0.00000E+00  3.53E-01     5.85E-01     7.58E-01     8.56E-01     1.01E+00     1.13E+00     1.13E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  2.18E-01     3.93E-01     5.35E-01     6.19E-01     7.60E-01     8.82E-01     8.85E-01     
Eu           63           0.00000E+00  0.00000E+00  4.71E-02     1.01E-01     1.57E-01     1.95E-01     2.70E-01     3.45E-01     3.47E-01     
Gd           64           0.00000E+00  0.00000E+00  1.10E-01     2.21E-01     3.25E-01     3.94E-01     5.19E-01     6.34E-01     6.36E-01     
Tb           65           0.00000E+00  0.00000E+00  6.57E-02     1.39E-01     2.09E-01     2.56E-01     3.46E-01     4.36E-01     4.38E-01     
Dy           66           0.00000E+00  0.00000E+00  1.15E-01     2.25E-01     3.26E-01     3.88E-01     5.01E-01     6.06E-01     6.08E-01     
Ho           67           0.00000E+00  0.00000E+00  6.10E-02     1.25E-01     1.90E-01     2.32E-01     3.15E-01     3.95E-01     3.97E-01     
Er           68           0.00000E+00  0.00000E+00  1.28E-01     2.50E-01     3.59E-01     4.26E-01     5.54E-01     6.68E-01     6.70E-01     
Tm           69           0.00000E+00  0.00000E+00  1.11E-01     2.24E-01     3.22E-01     3.80E-01     4.93E-01     5.96E-01     5.99E-01     
Yb           70           0.00000E+00  0.00000E+00  2.48E-01     4.41E-01     5.93E-01     6.80E-01     8.38E-01     9.75E-01     9.78E-01     
Lu           71           0.00000E+00  0.00000E+00  1.55E-01     2.99E-01     4.20E-01     4.92E-01     6.25E-01     7.46E-01     7.48E-01     
Hf           72           0.00000E+00  0.00000E+00  3.15E-01     5.35E-01     7.00E-01     7.94E-01     9.58E-01     1.10E+00     1.11E+00     
Ta           73           0.00000E+00  0.00000E+00  2.64E-01     4.72E-01     6.30E-01     7.21E-01     8.78E-01     1.02E+00     1.02E+00     
W            74           0.00000E+00  0.00000E+00  3.15E-01     5.45E-01     7.18E-01     8.16E-01     9.86E-01     1.14E+00     1.14E+00     
Re           75           -8.86E-02    -9.12E-02    3.75E-02     1.75E-01     3.06E-01     3.88E-01     5.42E-01     6.87E-01     6.90E-01     
Os           76           0.00000E+00  0.00000E+00  7.13E-02     1.44E-01     2.14E-01     2.63E-01     3.61E-01     4.65E-01     4.67E-01     
Ir           77           0.00000E+00  0.00000E+00  1.03E-02     2.44E-02     4.04E-02     5.22E-02     8.14E-02     1.20E-01     1.21E-01     
Pt           78           0.00000E+00  0.00000E+00  4.49E-02     9.77E-02     1.51E-01     1.89E-01     2.68E-01     3.57E-01     3.59E-01     
Au           79           0.00000E+00  0.00000E+00  3.99E-02     8.83E-02     1.39E-01     1.74E-01     2.50E-01     3.34E-01     3.36E-01     
Hg           80           0.00000E+00  0.00000E+00  2.60E-01     4.68E-01     6.29E-01     7.24E-01     8.96E-01     1.06E+00     1.06E+00     
Tl           81           0.00000E+00  0.00000E+00  3.03E-01     5.39E-01     7.15E-01     8.14E-01     1.00E+00     1.19E+00     1.19E+00     
Pb           82           0.00000E+00  0.00000E+00  1.09E-01     2.78E-01     4.49E-01     5.53E-01     7.42E-01     1.08E+00     1.08E+00     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  1.35E-02     3.84E-02     6.30E-02     1.17E-01     3.34E-01     3.43E-01     
