[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       
Mo           42           0.00000E+00  0.00000E+00  6.44E-02     1.84E-01     3.20E-01     4.21E-01     4.93E-01     5.59E-01     6.12E-01     6.59E-01     6.99E-01     7.60E-01     8.04E-01     8.09E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  4.45E-02     1.40E-01     2.61E-01     3.53E-01     4.18E-01     4.74E-01     5.20E-01     5.60E-01     5.94E-01     6.44E-01     6.83E-01     6.90E-01     
Rh           45           0.00000E+00  0.00000E+00  2.05E-02     6.76E-02     1.35E-01     1.91E-01     2.31E-01     2.69E-01     3.00E-01     3.27E-01     3.51E-01     3.88E-01     4.17E-01     4.22E-01     
Pd           46           0.00000E+00  0.00000E+00  6.50E-02     1.87E-01     3.34E-01     4.42E-01     5.14E-01     5.79E-01     6.29E-01     6.72E-01     7.08E-01     7.62E-01     8.03E-01     8.08E-01     
Ag           47           0.00000E+00  0.00000E+00  2.04E-02     6.52E-02     1.29E-01     1.82E-01     2.22E-01     2.60E-01     2.90E-01     3.19E-01     3.43E-01     3.80E-01     4.09E-01     4.13E-01     
Cd           48           0.00000E+00  0.00000E+00  8.89E-02     2.41E-01     4.12E-01     5.35E-01     6.17E-01     6.88E-01     7.42E-01     7.89E-01     8.27E-01     8.85E-01     9.26E-01     9.31E-01     
In           49           0.00000E+00  0.00000E+00  5.86E-02     1.70E-01     3.06E-01     4.08E-01     4.77E-01     5.38E-01     5.84E-01     6.23E-01     6.55E-01     7.06E-01     7.42E-01     7.47E-01     
Sn           50           0.00000E+00  0.00000E+00  1.09E-01     2.85E-01     4.73E-01     6.05E-01     6.95E-01     7.73E-01     8.33E-01     8.85E-01     9.26E-01     9.87E-01     1.03E+00     1.04E+00     
Sb           51           0.00000E+00  0.00000E+00  4.82E-02     1.41E-01     2.66E-01     3.68E-01     4.45E-01     5.16E-01     5.74E-01     6.25E-01     6.66E-01     7.25E-01     7.68E-01     7.74E-01     
Te           52           0.00000E+00  0.00000E+00  3.46E-02     1.08E-01     2.03E-01     2.79E-01     3.33E-01     3.84E-01     4.26E-01     4.63E-01     4.93E-01     5.38E-01     5.72E-01     5.76E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  3.44E-02     7.17E-02     1.04E-01     1.27E-01     1.51E-01     1.70E-01     1.88E-01     2.03E-01     2.26E-01     2.46E-01     2.49E-01     
Xe           54           0.00000E+00  0.00000E+00  3.94E-02     1.22E-01     2.32E-01     3.18E-01     3.79E-01     4.37E-01     4.83E-01     5.24E-01     5.58E-01     6.05E-01     6.41E-01     6.46E-01     
Cs           55           0.00000E+00  0.00000E+00  6.75E-02     1.86E-01     3.45E-01     4.66E-01     5.50E-01     6.24E-01     6.82E-01     7.32E-01     7.70E-01     8.25E-01     8.66E-01     8.70E-01     
