[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       
Er           68           0.00000E+00  0.00000E+00  3.44E-02     1.99E-01     3.93E-01     5.48E-01     6.60E-01     7.43E-01     8.06E-01     8.55E-01     8.64E-01     
Tm           69           0.00000E+00  0.00000E+00  1.73E-02     1.33E-01     2.86E-01     4.22E-01     5.26E-01     6.04E-01     6.63E-01     7.08E-01     7.17E-01     
Yb           70           0.00000E+00  0.00000E+00  7.18E-02     3.61E-01     6.27E-01     8.14E-01     9.45E-01     1.04E+00     1.11E+00     1.16E+00     1.17E+00     
Lu           71           0.00000E+00  0.00000E+00  3.21E-02     2.23E-01     4.36E-01     6.03E-01     7.24E-01     8.13E-01     8.81E-01     9.33E-01     9.43E-01     
Hf           72           0.00000E+00  0.00000E+00  9.99E-02     4.37E-01     7.25E-01     9.21E-01     1.06E+00     1.15E+00     1.22E+00     1.28E+00     1.29E+00     
Ta           73           0.00000E+00  0.00000E+00  6.78E-02     3.59E-01     6.31E-01     8.24E-01     9.60E-01     1.06E+00     1.13E+00     1.19E+00     1.20E+00     
W            74           0.00000E+00  0.00000E+00  8.98E-02     4.34E-01     7.22E-01     9.19E-01     1.06E+00     1.15E+00     1.23E+00     1.28E+00     1.30E+00     
Re           75           -6.05E-02    -6.18E-02    -2.99E-02    1.03E-01     2.68E-01     4.13E-01     5.30E-01     6.22E-01     6.96E-01     7.56E-01     7.68E-01     
Os           76           0.00000E+00  0.00000E+00  2.30E-02     1.28E-01     2.67E-01     3.86E-01     4.79E-01     5.49E-01     6.04E-01     6.48E-01     6.56E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  1.74E-02     4.53E-02     7.57E-02     1.03E-01     1.27E-01     1.47E-01     1.63E-01     1.67E-01     
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  6.91E-02     1.60E-01     2.48E-01     3.19E-01     3.74E-01     4.18E-01     4.52E-01     4.59E-01     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  5.59E-02     1.35E-01     2.14E-01     2.82E-01     3.36E-01     3.81E-01     4.16E-01     4.23E-01     
Hg           80           0.00000E+00  0.00000E+00  5.18E-02     3.61E-01     6.47E-01     8.44E-01     9.79E-01     1.07E+00     1.15E+00     1.20E+00     1.21E+00     
Tl           81           0.00000E+00  0.00000E+00  6.36E-02     4.36E-01     7.53E-01     9.60E-01     1.10E+00     1.19E+00     1.26E+00     1.31E+00     1.32E+00     
Pb           82           0.00000E+00  0.00000E+00  1.52E-02     2.22E-01     4.91E-01     7.02E-01     8.54E-01     9.62E-01     1.04E+00     1.10E+00     1.11E+00     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.96E-02     6.34E-02     1.02E-01     1.41E-01     1.77E-01     2.09E-01     2.16E-01     
