[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        
La           57           0.00000E+00  0.00000E+00  3.19E-02     1.69E-01     3.50E-01     5.39E-01     7.33E-01     9.14E-01     1.04E+00     1.10E+00     
Ce           58           0.00000E+00  0.00000E+00  2.05E-02     1.28E-01     2.90E-01     4.74E-01     6.69E-01     8.55E-01     9.88E-01     1.04E+00     
Pr           59           0.00000E+00  0.00000E+00  1.09E-02     6.92E-02     1.73E-01     3.12E-01     4.79E-01     6.51E-01     7.83E-01     8.37E-01     
Nd           60           0.00000E+00  0.00000E+00  1.07E-02     7.55E-02     1.89E-01     3.36E-01     5.08E-01     6.81E-01     8.09E-01     8.62E-01     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  3.59E-02     9.90E-02     1.94E-01     3.20E-01     4.59E-01     5.68E-01     6.14E-01     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.60E-02     3.71E-02     7.22E-02     1.21E-01     1.67E-01     1.89E-01     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  1.62E-02     4.65E-02     9.65E-02     1.71E-01     2.65E-01     3.48E-01     3.85E-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.76E-02     5.92E-02     1.07E-01     1.70E-01     2.26E-01     2.52E-01     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  1.75E-02     5.06E-02     1.05E-01     1.83E-01     2.77E-01     3.55E-01     3.89E-01     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.39E-02     5.29E-02     9.85E-02     1.59E-01     2.12E-01     2.35E-01     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  1.86E-02     5.48E-02     1.15E-01     2.02E-01     3.07E-01     3.94E-01     4.31E-01     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  1.56E-02     4.78E-02     1.02E-01     1.81E-01     2.76E-01     3.53E-01     3.86E-01     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  3.86E-02     1.09E-01     2.16E-01     3.56E-01     5.08E-01     6.26E-01     6.74E-01     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  1.94E-02     6.04E-02     1.29E-01     2.29E-01     3.46E-01     4.41E-01     4.82E-01     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  4.87E-02     1.35E-01     2.62E-01     4.23E-01     5.91E-01     7.18E-01     7.70E-01     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  3.75E-02     1.09E-01     2.21E-01     3.68E-01     5.26E-01     6.47E-01     6.98E-01     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  4.78E-02     1.35E-01     2.68E-01     4.36E-01     6.10E-01     7.40E-01     7.94E-01     
Re           75           -6.15E-02    -6.28E-02    -6.18E-02    -5.06E-02    -2.14E-02    3.47E-02     1.26E-01     2.40E-01     3.39E-01     3.82E-01     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  1.07E-02     2.54E-02     5.29E-02     9.81E-02     1.59E-01     2.16E-01     2.42E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.23E-02     2.45E-02     3.71E-02     4.34E-02     
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.47E-02     3.44E-02     6.73E-02     1.13E-01     1.55E-01     1.76E-01     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.18E-02     2.92E-02     5.96E-02     1.02E-01     1.43E-01     1.63E-01     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  3.35E-02     9.82E-02     2.06E-01     3.53E-01     5.11E-01     6.35E-01     6.87E-01     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  3.99E-02     1.20E-01     2.52E-01     4.27E-01     6.05E-01     7.37E-01     7.91E-01     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  1.12E-02     3.70E-02     9.64E-02     2.07E-01     3.53E-01     4.81E-01     5.38E-01     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.49E-02     4.65E-02     5.97E-02     
