[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  1.21E-02     4.37E-02     7.20E-02     9.34E-02     1.10E-01     1.23E-01     1.35E-01     1.49E-01     1.63E-01     1.81E-01     1.91E-01     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  1.28E-02     1.97E-02     2.56E-02     3.06E-02     3.47E-02     3.86E-02     4.25E-02     4.72E-02     4.97E-02     
Ga           31           0.00000E+00  0.00000E+00  1.92E-02     4.08E-02     6.22E-02     8.13E-02     9.83E-02     1.13E-01     1.27E-01     1.41E-01     1.56E-01     1.64E-01     
Ge           32           0.00000E+00  0.00000E+00  1.85E-02     4.01E-02     6.31E-02     8.43E-02     1.04E-01     1.21E-01     1.37E-01     1.52E-01     1.70E-01     1.79E-01     
As           33           0.00000E+00  0.00000E+00  1.52E-02     3.36E-02     5.38E-02     7.26E-02     9.01E-02     1.06E-01     1.21E-01     1.35E-01     1.51E-01     1.59E-01     
Se           34           0.00000E+00  0.00000E+00  2.41E-02     5.09E-02     7.92E-02     1.05E-01     1.28E-01     1.50E-01     1.69E-01     1.88E-01     2.09E-01     2.18E-01     
Br           35           0.00000E+00  0.00000E+00  1.43E-02     3.16E-02     5.13E-02     7.05E-02     8.92E-02     1.08E-01     1.25E-01     1.41E-01     1.58E-01     1.69E-01     
Kr           36           0.00000E+00  0.00000E+00  3.57E-02     7.27E-02     1.11E-01     1.46E-01     1.77E-01     2.05E-01     2.31E-01     2.56E-01     2.83E-01     2.95E-01     
Rb           37           0.00000E+00  2.81E-02     8.06E-02     1.29E-01     1.75E-01     2.20E-01     2.64E-01     3.10E-01     3.55E-01     3.98E-01     4.43E-01     4.65E-01     
Sr           38           0.00000E+00  5.88E-02     2.22E-01     4.05E-01     5.52E-01     6.61E-01     7.43E-01     8.09E-01     8.62E-01     9.08E-01     9.54E-01     9.75E-01     
Y            39           0.00000E+00  8.42E-02     2.70E-01     4.50E-01     5.94E-01     7.04E-01     7.89E-01     8.59E-01     9.16E-01     9.67E-01     1.02E+00     1.04E+00     
Zr           40           0.00000E+00  1.10E-01     3.18E-01     5.06E-01     6.50E-01     7.58E-01     8.42E-01     9.09E-01     9.64E-01     1.01E+00     1.06E+00     1.08E+00     
Nb           41           0.00000E+00  0.00000E+00  3.12E-02     7.52E-02     1.33E-01     1.99E-01     2.67E-01     3.32E-01     3.93E-01     4.48E-01     4.98E-01     5.43E-01     
Mo           42           0.00000E+00  6.26E-02     2.25E-01     3.91E-01     5.25E-01     6.28E-01     7.07E-01     7.68E-01     8.18E-01     8.63E-01     9.08E-01     9.28E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  3.39E-02     1.78E-01     3.31E-01     4.57E-01     5.58E-01     6.37E-01     6.98E-01     7.48E-01     7.92E-01     8.35E-01     8.55E-01     
Rh           45           0.00000E+00  1.35E-02     8.40E-02     1.73E-01     2.56E-01     3.27E-01     3.85E-01     4.31E-01     4.70E-01     5.05E-01     5.41E-01     5.57E-01     
Pd           46           0.00000E+00  4.13E-02     2.10E-01     3.91E-01     5.36E-01     6.47E-01     7.32E-01     7.97E-01     8.50E-01     8.97E-01     9.43E-01     9.63E-01     
Ag           47           0.00000E+00  1.18E-02     6.93E-02     1.52E-01     2.36E-01     3.08E-01     3.67E-01     4.14E-01     4.54E-01     4.90E-01     5.26E-01     5.42E-01     
Cd           48           0.00000E+00  5.97E-02     2.40E-01     4.36E-01     5.98E-01     7.24E-01     8.20E-01     8.94E-01     9.54E-01     1.01E+00     1.06E+00     1.08E+00     
In           49           0.00000E+00  3.57E-02     1.61E-01     3.17E-01     4.56E-01     5.71E-01     6.61E-01     7.31E-01     7.87E-01     8.36E-01     8.84E-01     9.05E-01     
Sn           50           0.00000E+00  9.91E-02     3.10E-01     5.15E-01     6.76E-01     8.02E-01     8.99E-01     9.74E-01     1.04E+00     1.09E+00     1.14E+00     1.17E+00     
Sb           51           0.00000E+00  5.71E-02     1.74E-01     3.01E-01     4.19E-01     5.21E-01     6.08E-01     6.78E-01     7.38E-01     7.92E-01     8.45E-01     8.68E-01     
Te           52           0.00000E+00  3.22E-02     1.30E-01     2.48E-01     3.54E-01     4.42E-01     5.12E-01     5.67E-01     6.14E-01     6.56E-01     6.98E-01     7.16E-01     
I            53           0.00000E+00  0.00000E+00  4.11E-02     8.85E-02     1.39E-01     1.86E-01     2.28E-01     2.62E-01     2.92E-01     3.19E-01     3.47E-01     3.60E-01     
Xe           54           0.00000E+00  3.63E-02     1.47E-01     2.76E-01     3.92E-01     4.88E-01     5.65E-01     6.26E-01     6.79E-01     7.25E-01     7.70E-01     7.90E-01     
Cs           55           0.00000E+00  6.08E-02     2.29E-01     3.75E-01     5.13E-01     6.36E-01     7.37E-01     8.16E-01     8.82E-01     9.39E-01     9.93E-01     1.02E+00     
Ba           56           0.00000E+00  1.32E-01     5.62E-01     8.95E-01     1.12E+00     1.28E+00     1.39E+00     1.48E+00     1.55E+00     1.61E+00     1.67E+00     1.69E+00     
La           57           0.00000E+00  1.15E-01     5.60E-01     9.04E-01     1.13E+00     1.30E+00     1.41E+00     1.50E+00     1.58E+00     1.64E+00     1.69E+00     1.72E+00     
Ce           58           0.00000E+00  9.87E-02     6.17E-01     9.97E-01     1.24E+00     1.41E+00     1.53E+00     1.62E+00     1.70E+00     1.76E+00     1.82E+00     1.84E+00     
Pr           59           0.00000E+00  6.70E-02     4.67E-01     7.97E-01     1.04E+00     1.21E+00     1.34E+00     1.44E+00     1.52E+00     1.59E+00     1.65E+00     1.68E+00     
Nd           60           0.00000E+00  6.67E-02     5.37E-01     9.02E-01     1.14E+00     1.31E+00     1.43E+00     1.52E+00     1.60E+00     1.66E+00     1.72E+00     1.74E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  4.37E-02     3.85E-01     7.03E-01     9.25E-01     1.08E+00     1.20E+00     1.29E+00     1.36E+00     1.43E+00     1.49E+00     1.51E+00     
Eu           63           0.00000E+00  0.00000E+00  1.03E-01     2.45E-01     3.82E-01     4.95E-01     5.85E-01     6.58E-01     7.22E-01     7.78E-01     8.31E-01     8.55E-01     
Gd           64           0.00000E+00  2.43E-02     2.35E-01     4.69E-01     6.54E-01     8.01E-01     9.15E-01     1.01E+00     1.08E+00     1.15E+00     1.21E+00     1.24E+00     
Tb           65           0.00000E+00  1.24E-02     1.49E-01     3.36E-01     4.87E-01     6.06E-01     6.99E-01     7.76E-01     8.44E-01     9.03E-01     9.59E-01     9.84E-01     
Dy           66           0.00000E+00  2.20E-02     2.36E-01     4.93E-01     6.84E-01     8.21E-01     9.23E-01     1.00E+00     1.07E+00     1.13E+00     1.18E+00     1.21E+00     
Ho           67           0.00000E+00  0.00000E+00  1.27E-01     3.04E-01     4.61E-01     5.80E-01     6.71E-01     7.42E-01     8.03E-01     8.56E-01     9.06E-01     9.28E-01     
Er           68           0.00000E+00  2.15E-02     2.50E-01     5.22E-01     7.31E-01     8.84E-01     9.96E-01     1.08E+00     1.15E+00     1.21E+00     1.27E+00     1.29E+00     
Tm           69           0.00000E+00  1.02E-02     1.58E-01     3.92E-01     5.78E-01     7.12E-01     8.07E-01     8.81E-01     9.43E-01     9.96E-01     1.05E+00     1.07E+00     
Yb           70           0.00000E+00  4.38E-02     4.63E-01     8.10E-01     1.05E+00     1.22E+00     1.34E+00     1.43E+00     1.51E+00     1.57E+00     1.63E+00     1.66E+00     
Lu           71           0.00000E+00  1.79E-02     3.00E-01     6.01E-01     8.22E-01     9.78E-01     1.09E+00     1.17E+00     1.24E+00     1.30E+00     1.35E+00     1.38E+00     
Hf           72           0.00000E+00  5.29E-02     5.72E-01     9.42E-01     1.18E+00     1.35E+00     1.48E+00     1.57E+00     1.64E+00     1.71E+00     1.76E+00     1.79E+00     
Ta           73           0.00000E+00  3.44E-02     4.91E-01     8.65E-01     1.11E+00     1.28E+00     1.40E+00     1.49E+00     1.56E+00     1.62E+00     1.68E+00     1.70E+00     
W            74           0.00000E+00  4.31E-02     5.71E-01     9.62E-01     1.22E+00     1.39E+00     1.52E+00     1.61E+00     1.68E+00     1.74E+00     1.80E+00     1.82E+00     
Re           75           -5.90E-02    -4.78E-02    2.21E-01     4.96E-01     7.35E-01     9.14E-01     1.04E+00     1.14E+00     1.21E+00     1.28E+00     1.34E+00     1.37E+00     
Os           76           0.00000E+00  1.30E-02     2.04E-01     4.28E-01     6.11E-01     7.57E-01     8.69E-01     9.57E-01     1.03E+00     1.09E+00     1.15E+00     1.18E+00     
Ir           77           0.00000E+00  0.00000E+00  3.13E-02     8.79E-02     1.52E-01     2.16E-01     2.74E-01     3.25E-01     3.71E-01     4.12E-01     4.51E-01     4.70E-01     
Pt           78           0.00000E+00  0.00000E+00  1.04E-01     2.69E-01     4.17E-01     5.34E-01     6.27E-01     7.03E-01     7.69E-01     8.26E-01     8.79E-01     9.03E-01     
Au           79           0.00000E+00  0.00000E+00  8.79E-02     2.41E-01     3.91E-01     5.11E-01     6.02E-01     6.73E-01     7.33E-01     7.84E-01     8.32E-01     8.55E-01     
Hg           80           0.00000E+00  1.99E-02     5.48E-01     9.44E-01     1.20E+00     1.38E+00     1.50E+00     1.60E+00     1.68E+00     1.74E+00     1.80E+00     1.82E+00     
Tl           81           0.00000E+00  2.16E-02     6.80E-01     1.11E+00     1.38E+00     1.55E+00     1.68E+00     1.77E+00     1.85E+00     1.91E+00     1.97E+00     1.99E+00     
Pb           82           0.00000E+00  0.00000E+00  1.25E+00     1.74E+00     2.01E+00     2.18E+00     2.29E+00     2.38E+00     2.44E+00     2.49E+00     2.53E+00     2.55E+00     
Bi           83           0.00000E+00  0.00000E+00  4.87E-01     8.71E-01     1.14E+00     1.32E+00     1.45E+00     1.55E+00     1.63E+00     1.69E+00     1.74E+00     1.77E+00     
