[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  1.10e-02     3.70e-02     7.01e-02     1.02e-01     1.29e-01     1.50e-01     1.65e-01     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  2.50e-02     8.06e-02     1.48e-01     2.09e-01     2.58e-01     2.94e-01     3.21e-01     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  2.08e-02     6.76e-02     1.27e-01     1.84e-01     2.32e-01     2.67e-01     2.94e-01     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  5.41e-02     1.59e-01     2.71e-01     3.65e-01     4.37e-01     4.89e-01     5.27e-01     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  2.76e-02     9.01e-02     1.65e-01     2.33e-01     2.89e-01     3.30e-01     3.61e-01     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  6.90e-02     1.96e-01     3.28e-01     4.35e-01     5.16e-01     5.73e-01     6.14e-01     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  5.27e-02     1.56e-01     2.71e-01     3.69e-01     4.46e-01     5.01e-01     5.42e-01     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  6.96e-02     1.99e-01     3.33e-01     4.42e-01     5.24e-01     5.83e-01     6.26e-01     
Re           75           -6.24e-02    -6.36e-02    -6.30e-02    -4.38e-02    0.00000E+00  5.31e-02     1.07e-01     1.55e-01     1.93e-01     2.23e-01     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  1.43e-02     3.97e-02     7.36e-02     1.07e-01     1.36e-01     1.58e-01     1.75e-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.50e-02     2.00e-02     2.38e-02     2.65e-02     
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.48e-02     4.95e-02     7.46e-02     9.69e-02     1.15e-01     1.28e-01     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.91e-02     3.92e-02     6.07e-02     8.06e-02     9.68e-02     1.10e-01     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  4.82e-02     1.52e-01     2.69e-01     3.70e-01     4.49e-01     5.06e-01     5.48e-01     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  6.19e-02     1.97e-01     3.46e-01     4.69e-01     5.60e-01     6.25e-01     6.70e-01     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  2.44e-02     1.03e-01     2.12e-01     3.13e-01     3.95e-01     4.54e-01     4.96e-01     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.29e-02     2.30e-02     3.36e-02     4.30e-02     5.08e-02     
