[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.05E-02     1.47E-02     1.84E-02     1.94E-02     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     1.10E-02     
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.88E-02     2.94E-02     3.95E-02     4.72E-02     4.91E-02     
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.02E-02     3.25E-02     4.48E-02     5.46E-02     5.70E-02     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.76E-02     2.86E-02     3.97E-02     4.87E-02     5.09E-02     
Se           34           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.31E-02     2.69E-02     4.28E-02     5.86E-02     7.11E-02     7.41E-02     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.45E-02     2.28E-02     3.11E-02     3.79E-02     4.03E-02     
Kr           36           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.66E-02     3.63E-02     5.97E-02     8.31E-02     1.01E-01     1.06E-01     
Rb           37           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.51E-02     3.43E-02     6.03E-02     9.07E-02     1.18E-01     1.26E-01     
Sr           38           0.00000E+00  0.00000E+00  0.00000E+00  2.54E-02     9.40E-02     1.85E-01     2.75E-01     3.51E-01     4.03E-01     4.15E-01     
Y            39           0.00000E+00  0.00000E+00  0.00000E+00  2.20E-02     8.58E-02     1.75E-01     2.68E-01     3.49E-01     4.06E-01     4.20E-01     
Zr           40           0.00000E+00  0.00000E+00  0.00000E+00  1.99E-02     8.25E-02     1.72E-01     2.65E-01     3.45E-01     4.01E-01     4.14E-01     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.33E-02     
Mo           42           0.00000E+00  0.00000E+00  0.00000E+00  1.05E-02     4.83E-02     1.09E-01     1.76E-01     2.38E-01     2.82E-01     2.92E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.73E-02     8.56E-02     1.41E-01     1.93E-01     2.31E-01     2.41E-01     
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.71E-02     4.05E-02     6.92E-02     9.77E-02     1.19E-01     1.25E-01     
Pd           46           0.00000E+00  0.00000E+00  0.00000E+00  1.07E-02     5.10E-02     1.15E-01     1.87E-01     2.51E-01     2.97E-01     3.07E-01     
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.56E-02     3.78E-02     6.53E-02     9.26E-02     1.13E-01     1.18E-01     
Cd           48           0.00000E+00  0.00000E+00  0.00000E+00  1.22E-02     5.94E-02     1.35E-01     2.20E-01     2.96E-01     3.50E-01     3.62E-01     
In           49           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.82E-02     8.99E-02     1.51E-01     2.09E-01     2.51E-01     2.62E-01     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  1.17E-02     6.15E-02     1.44E-01     2.35E-01     3.17E-01     3.75E-01     3.88E-01     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.17E-02     5.50E-02     9.84E-02     1.44E-01     1.80E-01     1.90E-01     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.88E-02     4.80E-02     8.42E-02     1.20E-01     1.47E-01     1.53E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.42E-02     2.63E-02     3.92E-02     4.94E-02     5.21E-02     
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.76E-02     4.69E-02     8.46E-02     1.23E-01     1.52E-01     1.59E-01     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.70E-02     4.89E-02     9.61E-02     1.50E-01     1.94E-01     2.06E-01     
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  6.76E-02     1.85E-01     3.16E-01     4.31E-01     5.08E-01     5.25E-01     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.17E-02     1.54E-01     2.76E-01     3.86E-01     4.61E-01     4.78E-01     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.20E-02     1.36E-01     2.54E-01     3.61E-01     4.35E-01     4.51E-01     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.19E-02     7.83E-02     1.61E-01     2.46E-01     3.11E-01     3.26E-01     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.67E-02     9.36E-02     1.85E-01     2.74E-01     3.37E-01     3.51E-01     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.29E-02     4.94E-02     1.04E-01     1.61E-01     2.03E-01     2.13E-01     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.10E-02     3.50E-02     4.66E-02     4.95E-02     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.36E-02     5.02E-02     8.12E-02     1.07E-01     1.13E-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.44E-02     3.07E-02     4.91E-02     6.42E-02     6.81E-02     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.30E-02     4.93E-02     7.82E-02     1.01E-01     1.08E-01     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.49E-02     3.14E-02     4.86E-02     6.05E-02     6.07E-02     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.85E-02     6.11E-02     9.65E-02     1.24E-01     1.30E-01     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.82E-02     3.99E-02     6.30E-02     8.11E-02     8.63E-02     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.45E-02     5.64E-02     1.20E-01     1.85E-01     2.33E-01     2.44E-01     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.12E-02     6.95E-02     1.11E-01     1.43E-01     1.50E-01     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.87E-02     7.22E-02     1.50E-01     2.30E-01     2.87E-01     3.00E-01     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.47E-02     5.97E-02     1.28E-01     1.98E-01     2.50E-01     2.63E-01     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.80E-02     7.26E-02     1.55E-01     2.38E-01     2.98E-01     3.11E-01     
Re           75           -1.85E-02    -1.94E-02    -1.94E-02    -1.93E-02    -1.56E-02    0.00000E+00  2.87E-02     6.65E-02     9.87E-02     1.08E-01     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.60E-02     3.42E-02     5.59E-02     7.41E-02     7.83E-02     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     1.08E-02     
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.82E-02     2.96E-02     3.89E-02     4.11E-02     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.61E-02     2.71E-02     3.59E-02     3.80E-02     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.48E-02     6.05E-02     1.30E-01     2.03E-01     2.57E-01     2.69E-01     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.82E-02     7.42E-02     1.55E-01     2.35E-01     2.91E-01     3.04E-01     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.22E-02     1.02E-01     1.69E-01     2.20E-01     2.31E-01     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.32E-02     2.04E-02     2.24E-02     
