name		Na	    Mg       Al     Si      Ca      Ti      Cr      Ni  	Y       Zr      xLa      Ce      Nd	    mass
HD180996	0.20	0.01	0.03	0.14	0.11	0.01	-0.03	0.08	0.61	0.49	0.59	0.51	0.37    3.0
HD182300	0.24	-0.07	-0.03	0.04	0.10	-0.06	-0.02	-0.04	0.98	0.70	1.41	0.98	0.90    3.0
HD183915	0.15	0.36	-	    0.18	0.10	-0.01	-0.03	0.02	0.88	0.68	2.16	1.22	1.36    4.0
HD187308	-0.04	0.03	0.01	0.08	0.06	-0.07	0.06	-0.01	0.82	0.47	0.80	0.71	0.60    3.0
HD193530	0.31	0.23	0.19	0.16	0.21	0.25	0.10	0.02	0.60	0.71	1.25	0.72	0.55    2.0
HD196445	0.28	0.58	0.07	0.06	0.28	0.25	-	    0.10	0.96	1.02	2.02	1.14	1.10    4.0
HD199435	0.27	0.28	0.01	0.19	0.07	0.05	-0.03	0.00	0.92	0.81	1.74	1.31	1.32    2.0
HD200995	0.15	0.06	0.07	0.13	0.03	0.00	-0.03	-0.02	0.64	0.56	1.05	0.89	0.51    3.0
HD201657	0.25	0.41	0.27	0.25	0.14	-0.01	-0.01	0.03	0.72	0.98	1.91	1.44	1.28    2.0
HD201824	0.19	0.30	0.15	0.28	0.12	0.06	0.02	0.01	0.91	0.87	1.58	1.48	1.35    3.0
HD204075	0.01	0.06	0.01	0.02	0.04	-0.12	-0.05	-0.09	1.25	0.95	1.06	0.81	0.71    6.0
HD207277	0.12	0.12	-0.03	0.21	0.12	0.01	-0.08	-0.06	0.70	0.51	1.17	0.93	0.73    4.0
HD210709	-0.01	0.08	0.06	0.20	-0.01	-0.06	-0.07	0.06	0.56	0.39	0.92	0.84	0.74    2.5
HD210946	0.00	0.03	0.00	0.12	0.05	-0.04	-0.04	-0.03	0.77	0.56	0.81	0.66	0.61    4.0
HD211173	0.20	0.30	0.07	0.34	0.22	-0.03	-0.04	0.09	0.58	0.37	0.58	0.52	0.36    3.0
HD211594	0.45	0.40	0.15	0.26	0.26	0.24	0.09	0.08	1.20	1.18	2.31	1.57	1.49    3.0
HD211954	0.37	0.53	0.39	0.35	0.39	0.36	-0.03	0.09	1.14	1.02	1.90	1.54	1.69    4.0
HD214579	0.23	0.29	0.29	0.22	0.15	0.05	-0.01	0.05	0.52	0.76	1.16	0.86	0.81    2.0
HD217143	0.02	0.44	0.06	0.26	0.22	0.09	-0.02	0.09	0.87	0.62	1.62	1.15	1.08    2.5
HD217447	0.18	0.17	-0.01	0.17	0.12	-0.04	-0.08	0.00	0.93	0.60	1.09	1.01	0.84    2.5
HD219116	0.26	0.45	0.31	0.33	0.22	0.17	-0.02	0.08	0.59	0.65	1.21	1.07	0.97    2.0
HD223586	0.12	0.28	0.22	0.20	0.17	0.15	0.02	0.08	0.88	0.82	1.05	0.89	0.82    1.5
HD223617	0.27	0.24	0.17	0.20	0.21	0.01	-0.11	0.07	0.70	0.73	1.03	0.67	0.62    2.0
HD252117	0.42	0.38	0.16	0.09	0.09	-0.07	0.09	0.00	0.92	0.84	1.84	1.11	1.07    4.0
HD273845	0.15	0.30	0.06	0.20	0.11	0.06	-0.01	0.08	0.99	0.66	1.57	1.40	1.27    2.0
HD288174	0.03	-0.01	0.03	0.16	-0.03	-0.03	-0.08	0.00	0.90	0.60	1.20	0.82	0.69    3.0
MFU112		0.40	0.33	0.37	0.13	0.26	0.09	0.00	0.07	0.99	1.26	2.38	1.62	1.39    3.0
BD-18821	0.20	0.08	0.12	0.08	0.13	-0.01	-0.13	0.03	0.88	0.51	1.44	1.28	1.09    3.0
CD-267844	0.05	0.15	-0.03	0.10	0.07	0.00	0.00	-0.01	0.62	0.49	0.43	0.49	0.26    3.0
CD-309005	0.09	-0.15	0.06	0.14	0.12	0.02	0.02	0.05	0.79	0.53	1.00	0.69	0.50    3.0
CD-346139	0.14	0.21	-0.02	0.10	0.00	-0.02	-0.05	0.00	0.57	0.69	0.88	0.64	0.47    4.0
CD-347430	0.27	0.21	-0.01	0.22	0.09	-0.06	-0.02	0.07	0.68	0.51	0.59	0.56	0.41    3.0
CD-463977	0.03	0.06	0.01	0.15	0.07	-0.01	0.02	-0.02	0.74	0.61	0.76	0.64	0.61    3.0
#HD5322		0.22	0.15	0.05	0.26	0.14	-0.02	-0.12	0.02	0.03	0.03	0.32	0.21	0.11    4.0
HD18182		0.29	0.32	0.15	0.28	0.19	0.00	-0.03	0.09	0.50	0.35	0.40	0.35	0.16    3.0
HD18361		0.00	0.22	0.00	0.16	-0.03	-0.01	-0.04	0.07	0.49	0.49	0.41	0.35	0.31    3.0
HD21682		0.25	0.38	0.21	0.29	0.24	0.08	0.04	0.08	0.50	0.54	0.92	0.93	0.80    3.0
#HD21980	0.40	0.32	0.01	0.21	0.13	-0.01	-0.11	-0.04	-0.30	-0.30	0.10	0.14	-0.10   4.0
HD26886		0.20	0.36	0.13	0.30	0.24	0.04	-0.01	0.06	0.44	0.50	0.79	0.76	0.61    3.0
HD31812		-0.05	0.10	0.02	0.10	0.07	-0.05	-0.04	-0.04	0.70	0.62	0.63	0.55	0.41    3.0
#HD33409	0.34	0.29	0.11	0.34	0.21	0.01	-0.09	0.09	0.32	0.10	0.11	0.16	0.06    3.0
HD33709		0.17	0.19	0.18	0.17	0.14	-0.01	-0.03	-0.02	0.50	0.23	0.52	0.52	0.32    4.0
