name		err_Na	err_Mg    err_Al     err_Si    err_Ca    err_Ti     err_Cr    err_Ni    err_Y     err_Zr      xLa      err_Ce     err_Nd
HD219116   	0.16 0.22   0.10    0.13   0.22  0.11    0.10   0.07  0.19   0.15    0.17     0.08    0.14
HD223586   	---  0.19   0.04    0.11   0.14   0.15   0.12   0.14  0.25   0.14    0.12     0.13    0.14
HD223617   	---  0.18  0.06    0.13   0.16   0.11   0.04   0.14  0.11   0.13    0.14     0.11    0.12
HD252117   	---  0.18   0.11    0.15   0.19   0.12   0.16   0.15  0.15   0.09     0.24     0.20    0.11
HD273845   	0.12 0.12   0.06    0.16   0.15   0.13   0.14   0.11  0.15   0.16     0.26     0.23    0.14
HD288174   	---  0.20   0.13    0.12   0.15   0.12   0.10   0.14  0.08   0.09    0.12     0.18    0.13
MFU112     	---  0.03   0.18    0.09   0.23  0.02    0.28   0.11  0.12   0.15    0.10     0.03    0.11
BD-18821   	0.14 0.13   0.15    0.09   0.12  0.07   0.08   0.09  0.23   0.16    0.23     0.14    0.09
CD-267844   ---  0.13   0.13    0.09   0.08   0.07   0.04   0.09	0.12   0.09    0.09     0.18    0.12
CD-309005   ---  0.09   0.15    ---    ---    0.07   0.09   0.11  0.08   0.13    0.13     0.18    0.13
CD-346139   ---  0.18   0.14    0.10   0.12   0.11   0.07   0.16  0.07   0.12     0.11     0.11    0.11
CD-347430   ---  0.23   0.06    0.11   0.06   0.15   0.05   0.14  0.07   0.13     0.16     0.10    0.15
CD-463977   ---  0.16   0.06    0.11   0.15  0.10   0.04   0.10  0.02   0.11    0.09     0.02    0.17
HD5322     	not a Ba star
HD18182     0.07 0.15  0.15    0.06   0.13  0.15   0.07   0.06  0.13   0.06     0.14     0.12    0.12
HD18361    	---  0.18   0.12    0.09   0.10   0.09   0.08   0.10  0.05   0.06     0.06     0.03    0.16
HD21682    	---  0.06   0.20    0.13   0.10  0.13    0.10   0.09  0.14   0.14     0.07     0.15    0.09
HD21980    	not a Ba star
HD26886     0.14 0.16   0.17    0.11   0.11  0.13   0.08   0.07	0.10   0.16    0.13     0.25    0.11
HD31812     ---  0.19  0.17    0.11   0.13  0.07   0.02   0.09 	0.08   0.07    0.18     0.10    0.09
HD33409     not a Ba star
HD33709     ---  0.19   0.20    0.11   0.12  0.08   0.03   0.11 	0.11   0.10     0.10     0.25    0.08
HD39778     ---  0.15   0.12    0.11   0.14  0.11   0.07   0.12 	0.02   0.12    0.17     0.15    0.10
